,Names,Series_Amount,Series_Date,Series_Type
2851,Digital-Railroad,"$5,200,000","Jun 14, 2005",Series_A
2852,Dayima,"$1,000,000","Apr 28, 2013",Series_A
2853,IdeaPaint,"$5,000,000","Nov 12, 2008",Series_A
2855,Medialets,"$4,000,000","May 12, 2009",Series_A
2856,Mobile-Content-Networks,"$6,000,000","Oct 24, 2006",Series_A
2858,PressPlane,"$1,700,000","Sep  1, 2008",Series_A
2859,WHOOP,"$6,000,000","Jun  4, 2014",Series_A
2860,Movableink,"$1,300,000","Jul 13, 2011",Series_A
2861,Adaptive-Computing,"$14,000,000","Sep 14, 2010",Series_A
2862,Kidaptive,"$1,350,000","Oct 25, 2013",Series_A
2865,eBureau,"$8,000,000","Mar 28, 2006",Series_A
2867,Kaboodle,"$1,500,000","Mar  1, 2005",Series_A
2868,Jangl-SMS,"$2,000,000","Jan  1, 2005",Series_A
2870,Clicker,"$8,000,000","Sep 15, 2009",Series_A
2872,Tegile-Systems,"$2,500,000","Jul  1, 2010",Series_A
2874,4Home,"$2,850,000","Aug  1, 2006",Series_A
2875,Reflex-Systems,"$8,500,000","Apr 17, 2009",Series_A
2877,RotoHog,"$6,000,000","Aug  1, 2007",Series_A
2884,Glassdoor,"$3,000,000","Mar 27, 2008",Series_A
2886,Magnet-Systems,"$12,600,000","Apr 27, 2011",Series_A
2888,Yesware,"$4,000,000","Jun 20, 2012",Series_A
2889,Total-Beauty-Media,"$2,000,000","Mar  1, 2007",Series_A
2892,Bluecava,"$5,000,000","Oct 18, 2010",Series_A
2895,DocuTAP,"$12,000,000","Mar  6, 2012",Series_A
2896,On-q-ity,"$26,000,000","Dec 14, 2009",Series_A
2898,Voyage-Medical,"$3,400,000","Nov 16, 2006",Series_A
2900,Zmags,"$2,300,000","Jan  1, 2008",Series_A
2902,Wooga,"$7,500,000","Nov 12, 2009",Series_A
2903,Etsy,"$1,000,000","Nov  1, 2006",Series_A
2904,Endeca,"$10,000,000","Jan  1, 2001",Series_A
2905,Onestop-Internet,"$13,300,000","Oct 14, 2008",Series_A
2906,SimplyCast,"$1,000,000","Dec  1, 2009",Series_A
2907,Innovative-Silicon,"$6,000,000","Mar  1, 2004",Series_A
2908,Jive-Software,"$15,000,000","Aug  1, 2007",Series_A
2910,Fiksu,"$5,500,000","Nov 23, 2010",Series_A
2911,TouchType,"$2,400,000","Dec  7, 2011",Series_A
2915,Beckon,"$8,000,000","Apr  1, 2014",Series_A
2916,Applied-DNA-Sciences,"$5,500,000","Jan 10, 2013",Series_A
2917,G2-Microsystems,"$6,600,000","Mar 15, 2005",Series_A
2918,Work-Market,"$6,000,000","May 12, 2010",Series_A
2919,Qwilt,"$9,100,000","Sep 13, 2010",Series_A
2921,Datadog,"$6,200,000","Nov 21, 2012",Series_A
2922,Gutcheck,"$2,000,000","Oct 12, 2010",Series_A
2924,Viridity-Software,"$7,000,000","Dec  1, 2008",Series_A
2926,Cloudian,"$11,600,000","Apr  1, 2012",Series_A
2930,SundaySky,"$8,000,000","Jan  6, 2009",Series_A
2932,Player-X,"$7,100,000","Oct  3, 2005",Series_A
2935,Crittercism,"$5,500,000","Jun  1, 2012",Series_A
2937,Eye-Fi,"$5,500,000","Jun 11, 2007",Series_A
2938,C3Nano,"$3,200,000","Feb 13, 2011",Series_A
2939,AlertEnterprise,"$8,000,000","Feb 11, 2009",Series_A
2943,PlayFirst,"$5,000,000","Jan  1, 2004",Series_A
2944,Allozyne,"$3,500,000","Dec  6, 2005",Series_A
2946,HireVue,"$1,000,000","Sep 30, 2009",Series_A
2947,Aptus-Endosystems,"$15,000,000","Aug 30, 2010",Series_A
2948,Parature,"$13,500,000","Jul  5, 2006",Series_A
2951,UGOBE,"$2,750,000","May  1, 2006",Series_A
2953,Peatix,"$3,000,000","Jun 30, 2013",Series_A
2954,Quandoo,"$4,500,000","Jun  1, 2013",Series_A
2955,Hytrust,"$5,500,000","Apr  6, 2009",Series_A
2958,Distil-Networks,"$10,000,000","May 28, 2014",Series_A
2959,Bigfoot-Networks,"$8,750,000","May  1, 2008",Series_A
2962,SLYCE,"$10,750,000","Mar  4, 2014",Series_A
2964,Betterment,"$3,000,000","Dec  1, 2010",Series_A
2965,Skillz,"$5,500,000","Jun 18, 2013",Series_A
2966,Adaptivity,"$7,200,000","Oct  5, 2010",Series_A
2967,iSpecimen,"$2,000,000","Sep 26, 2012",Series_A
2970,Smule,"$3,900,000","Feb 13, 2009",Series_A
2972,Ziften-Technologies,"$5,800,000","Jul 14, 2011",Series_A
2973,BodyShopBids,"$1,000,000","Jan  4, 2012",Series_A
2975,IMVU,"$9,000,000","Mar  1, 2006",Series_A
2976,Visualase,"$3,500,000","Feb  1, 2010",Series_A
2977,DataPop,"$1,700,000","Nov 11, 2010",Series_A
2978,Firetide,"$3,200,000","Jun  3, 2003",Series_A
2979,Seres-Health,"$10,500,000","Nov 21, 2013",Series_A
2985,Achates-Power,"$12,100,000","Oct  8, 2009",Series_A
2986,Axxana,"$5,000,000","Jun 18, 2007",Series_A
2988,LiquidHub,"$20,000,000","Sep 25, 2007",Series_A
2989,Miragen-Therapeutics,"$8,000,000","May 19, 2008",Series_A
2990,Modcloth,"$2,100,000","Mar 18, 2009",Series_A
2991,Petflow,"$5,000,000","Nov  9, 2010",Series_A
2992,6sense,"$12,000,000","May 20, 2014",Series_A
2993,Criteo,"$6,600,000","Apr  1, 2006",Series_A
2994,Affinity-Circles,"$440,000","Dec  1, 2004",Series_A
2995,Friendster,"$2,400,000","Dec  1, 2002",Series_A
2997,Savaari-Car-Rentals,"$1,000,000","Oct  1, 2012",Series_A
3000,Light,"$9,700,000","Jun 10, 2014",Series_A
3001,Wrightspeed,"$5,000,000","Sep 10, 2010",Series_A
3002,Tracevector,"$5,300,000","Jan  5, 2012",Series_A
3004,Addepar,"$15,800,000","Jun 15, 2011",Series_A
3007,Localytics,"$5,500,000","Sep 10, 2012",Series_A
3008,Oh-My-Glasses,"$2,000,000","Sep 28, 2012",Series_A
3009,Copan-Systems,"$3,000,000","Aug 27, 2009",Series_A
3013,Misfit,"$7,600,000","Apr 25, 2012",Series_A
3015,Aurora-Biofuels,"$5,000,000","Jan 24, 2007",Series_A
3016,Yottaa,"$4,000,000","Aug 31, 2010",Series_A
3022,Eons,"$10,000,000","Apr  1, 2006",Series_A
3031,Philo,"$6,300,000","Jul 10, 2013",Series_A
3033,Games2Win,"$5,000,000","Mar 29, 2007",Series_A
3036,Woozworld,"$3,000,000","May 10, 2010",Series_A
3037,Digital-Bridge-Communications,"$11,000,000","Dec 11, 2006",Series_A
3038,Getglue,"$1,500,000","Jan  1, 2007",Series_A
3039,Priceline,"$20,000,000","Jul 31, 1998",Series_A
3042,SearchMe,"$400,000","Jul  1, 2005",Series_A
3043,Baynote,"$4,000,000","Mar  1, 2005",Series_A
3044,Innography,"$6,500,000","Aug  1, 2008",Series_A
3045,Wetpaint,"$5,250,000","Oct  1, 2005",Series_A
3046,ConteXtream,"$9,600,000","Jun  1, 2007",Series_A
3048,Greentech-Media,"$1,000,000","May 24, 2007",Series_A
3053,Awareness,"$7,000,000","Jul 23, 2007",Series_A
3056,Freedom-Meditech,"$2,000,000","Sep 28, 2012",Series_A
3057,Sympoz,"$6,000,000","Sep 14, 2011",Series_A
3060,Alert-Logic,"$2,300,000","Sep 19, 2005",Series_A
3061,Kyruus,"$5,500,000","Jun 21, 2011",Series_A
3063,Conduit-Labs,"$5,500,000","Aug  1, 2007",Series_A
3064,Naurex,"$18,000,000","May 11, 2011",Series_A
3065,Fuhu,"$1,500,000","Feb  1, 2008",Series_A
3066,Breather,"$6,000,000","Sep  4, 2014",Series_A
3068,Avegant,"$9,370,000","Nov  4, 2014",Series_A
3070,Panzura,"$6,000,000","Sep 28, 2008",Series_A
3071,Tetraphase-Pharmaceuticals,"$15,000,000","Aug  7, 2008",Series_A
3072,Kosmix,"$7,000,000","Nov 28, 2005",Series_A
3075,aihuishou,"$2,000,000","Oct  1, 2011",Series_A
3077,Sentilla,"$3,850,000","Oct 23, 2006",Series_A
3079,AdXpose,"$9,800,000","Feb  1, 2007",Series_A
3080,KIXEYE,"$1,000,000","Nov 18, 2008",Series_A
3082,Siri,"$8,500,000","Oct 13, 2008",Series_A
3084,Trifacta,"$4,300,000","Jun 12, 2012",Series_A
3086,ConnectM-Technology-Solutions,"$6,000,000","Jun 27, 2007",Series_A
3087,EdeniQ,"$33,100,000","Apr 21, 2008",Series_A
3090,Bitglass,"$10,000,000","Mar  8, 2013",Series_A
3091,Zing-Systems,"$13,000,000","Jan  1, 2007",Series_A
3092,Internet-REIT,"$20,000,000","May 19, 2006",Series_A
3095,Akorri-Networks,"$8,400,000","May  5, 2005",Series_A
3096,KIT-Digital,"$5,000,000","Apr 18, 2008",Series_A
3098,Jobaline,"$4,300,000","Oct  1, 2013",Series_A
3100,Interana,"$8,200,000","Feb  1, 2013",Series_A
3102,Health-Guru,"$250,000","Jan  1, 2007",Series_A
3105,Sportgenic,"$1,500,000","Jul  1, 2008",Series_A
3106,BuzzFeed,"$3,500,000","Jul  9, 2008",Series_A
3107,NoWait,"$2,000,000","Aug 28, 2012",Series_A
3109,BlogHer,"$3,500,000","Jul 15, 2007",Series_A
3111,Alphabet-Energy,"$12,000,000","Sep 15, 2011",Series_A
3112,SocialFlow,"$7,000,000","Apr  7, 2011",Series_A
3114,Overtone,"$5,000,000","Mar  5, 2007",Series_A
3115,TuneWiki,"$3,000,000","Apr  1, 2008",Series_A
3116,Zettaset,"$3,000,000","Apr  1, 2011",Series_A
3119,Power2SME,"$2,000,000","Jan  1, 2012",Series_A
3120,Bluestacks,"$7,600,000","May 24, 2011",Series_A
3121,HistoSonics,"$11,000,000","Feb 22, 2010",Series_A
3122,Adometry,"$5,000,000","Feb  7, 2007",Series_A
3123,Kewego,"$6,300,000","Apr  1, 2006",Series_A
3126,RealPage,"$31,612,500","Dec 30, 2003",Series_A
3128,TerraGo-Technologies,"$6,300,000","May 16, 2007",Series_A
3129,Wellfount,"$6,000,000","Apr 20, 2011",Series_A
3130,Sypherlink,"$3,500,000","Jun 28, 2005",Series_A
3132,Gridstore,"$12,500,000","Oct 15, 2012",Series_A
3133,Ubiquisys,"$12,000,000","Sep  7, 2006",Series_A
3134,AdzCentral,"$3,200,000","Mar 20, 2013",Series_A
3137,Payvment,"$1,500,000","Mar 29, 2010",Series_A
3139,91JinRong,"$9,800,000","Oct  1, 2013",Series_A
3140,Outbrain,"$5,000,000","Feb 25, 2008",Series_A
3145,UrbanSitter,"$1,750,000","Jan 31, 2012",Series_A
3149,Truviso,"$4,800,000","Jun 24, 2015",Series_A
3151,Appirio,"$1,100,000","Mar 13, 2008",Series_A
3152,Globaltranz-Logistics,"$10,000,000","Jan 11, 2011",Series_A
3153,Chargebee,"$800,000","Jan 13, 2014",Series_A
3155,B5M,"$7,100,000","Feb 16, 2012",Series_A
3158,Mixpanel,"$10,250,000","May 10, 2012",Series_A
3159,Coraid,"$10,000,000","Dec  1, 2009",Series_A
3160,Cafemom,"$5,000,000","Aug 22, 2007",Series_A
3161,Flywheel-Software,"$8,000,000","Jun 30, 2012",Series_A
3163,Verastem,"$16,000,000","Nov 16, 2010",Series_A
3164,BCR-Environmental,"$10,000,000","Oct 14, 2011",Series_A
3166,Lendio,"$6,000,000","Feb 17, 2011",Series_A
3167,Reddo-Mobility,"$3,000,000","Jun 30, 2011",Series_A
3168,Zillow,"$32,000,000","Oct  1, 2005",Series_A
3174,LogRhythm,"$3,250,000","Nov  7, 2008",Series_A
3178,Brightpearl,"$5,000,000","May 25, 2011",Series_A
3179,Vitrue,"$3,800,000","Oct 24, 2006",Series_A
3180,neohapsis,"$16,500,000","Oct 15, 2010",Series_A
3183,Vocalocity,"$8,000,000","Oct 18, 2007",Series_A
3185,Pronutria,"$10,800,000","Oct 22, 2013",Series_A
3186,Dataguise,"$3,250,000","Mar 22, 2011",Series_A
3187,Movik-Networks,"$7,500,000","Feb  1, 2008",Series_A
3189,Sendio,"$4,000,000","Feb 12, 2007",Series_A
3190,ITIS-Holdings,"$5,700,000","Sep  2, 1999",Series_A
3195,BlogTalkRadio,"$4,600,000","Jun 25, 2008",Series_A
3198,Tongal,"$1,200,000","Jun  1, 2008",Series_A
3200,Zoomdata,"$4,100,000","Jul 16, 2013",Series_A
3202,Conviva,"$9,000,000","Apr 10, 2007",Series_A
3203,Talari-Networks,"$6,200,000","Jan 27, 2009",Series_A
3205,Ace-Metrix,"$3,000,000","Aug  1, 2008",Series_A
0,Epic-Sciences,"$13,000,000","Nov 13, 2012",Series_B
1,Apreso-Classroom,"$15,000,000","Oct 14, 2008",Series_B
3,Onshift,"$3,000,000","Feb  2, 2012",Series_B
4,Xendex-Holding,"$3,500,000","Nov 30, 2009",Series_B
5,filmloop,"$7,000,000","May  1, 2006",Series_B
6,Mochi-Media,"$10,000,000","Jun 18, 2008",Series_B
7,SkyRecon-Systems,"$6,500,000","Mar 12, 2007",Series_B
9,ROBLOX,"$4,000,000","Jun 14, 2011",Series_B
10,SendHub,"$5,000,000","Nov 19, 2014",Series_B
12,Madhouse-Media,"$2,700,000","Mar  1, 2007",Series_B
13,White-Sky,"$11,000,000","Sep 10, 2008",Series_B
14,Forus-Health,"$8,400,000","Jan  9, 2014",Series_B
15,Able-Lending,"$6,000,000","Aug 25, 2015",Series_B
16,UberMedia,"$17,500,000","Feb 14, 2011",Series_B
17,Superpedestrian,"$4,000,000","Sep 29, 2014",Series_B
18,Daylife,"$8,300,000","Jun  1, 2007",Series_B
19,Radiate-Media,"$22,000,000","Nov  1, 2011",Series_B
20,Dailymotion,"$34,000,000","Aug  1, 2007",Series_B
21,Pernixdata,"$20,000,000","May 15, 2013",Series_B
22,Divante,"$2,300,000","Dec 18, 2014",Series_B
23,Message-Systems,"$32,000,000","Jun 21, 2012",Series_B
24,ParStream,"$8,000,000","Oct 17, 2013",Series_B
25,Mashable,"$17,000,000","Jan 29, 2015",Series_B
26,Crimson-Hexagon,"$5,000,000","May 24, 2011",Series_B
27,Eglue-Business-Technologies,"$10,000,000","Jul  2, 2006",Series_B
28,Tribold,"$15,000,000","Mar 22, 2007",Series_B
29,Prolexic-Technologies,"$8,000,000","Feb  8, 2012",Series_B
31,Channel-IQ,"$12,000,000","Nov  7, 2013",Series_B
32,Newforma,"$8,000,000","Oct  1, 2005",Series_B
33,Transpera,"$8,250,000","Nov 12, 2008",Series_B
34,The-Clymb,"$7,000,000","Mar  1, 2012",Series_B
35,Syncbak,"$7,300,000","Jun 29, 2012",Series_B
37,Idleair,"$3,000,000","Jun 23, 2011",Series_B
38,HoneyBook,"$22,000,000","Mar  5, 2015",Series_B
39,Applied-StemCell,"$1,900,000","Mar 19, 2010",Series_B
40,Metabolon,"$8,000,000","Jan 18, 2006",Series_B
41,Prime-Sense,"$20,400,000","Jun  3, 2008",Series_B
42,NABsys,"$7,000,000","Mar 10, 2010",Series_B
43,VLST,"$55,000,000","Jun 16, 2006",Series_B
45,Lantos-Technologies,"$4,099,999","Aug 26, 2011",Series_B
46,Marble-Security,"$22,000,000","May  3, 2010",Series_B
47,Stackdriver,"$10,000,000","Sep 18, 2013",Series_B
48,5Min-Media,"$7,500,000","Jul 23, 2009",Series_B
49,Woven-Systems,"$20,000,000","Sep 25, 2007",Series_B
50,Brandwatch,"$22,000,000","May 24, 2014",Series_B
51,Duetto,"$21,000,000","Jul  9, 2014",Series_B
52,Teneros,"$17,500,000","Mar  1, 2005",Series_B
53,DREAMLINES,"$9,750,000","May  1, 2013",Series_B
55,Samsoft,"$100,000","Feb 14, 2015",Series_B
56,VisibleBrands,"$2,300,000","Jan 23, 2014",Series_B
58,JAM-Technologies,"$11,300,000","Feb 14, 2006",Series_B
59,Keahole-Solar-Power,"$9,000,000","Dec 26, 2009",Series_B
60,Rempex-Pharmaceuticals,"$67,500,000","Nov  9, 2011",Series_B
61,Proximal-Data,"$2,000,000","Apr  1, 2013",Series_B
62,Elastra,"$12,000,000","Aug  5, 2008",Series_B
63,ConXtech,"$7,100,000","Dec 11, 2007",Series_B
64,Open-Xchange,"$9,000,000","Nov  4, 2008",Series_B
67,VOSS-Solutions,"$12,000,000","Sep 22, 2008",Series_B
68,Ziqitza-Health-Care,"$4,250,000","Mar 26, 2010",Series_B
69,Carnegie-Speech,"$3,400,000","May  4, 2012",Series_B
70,ControlScan,"$3,500,000","Jun 29, 2010",Series_B
71,Triggit,"$7,400,000","Nov 29, 2012",Series_B
74,Think-Through-Learning,"$5,600,000","Sep  5, 2013",Series_B
75,Blue-Nile,"$42,000,000","Apr 17, 2000",Series_B
76,GameGround,"$5,300,000","Nov 17, 2010",Series_B
77,Agilyx,"$22,000,000","Mar 31, 2011",Series_B
78,Digabit,"$1,400,000","Aug 12, 2009",Series_B
79,Goodguide,"$5,500,000","Nov 18, 2009",Series_B
80,Fix8,"$2,000,000","Apr  3, 2008",Series_B
81,ClearSlide,"$28,000,000","Aug 28, 2012",Series_B
82,Reloaded-Games,"$16,000,000","Jun 18, 2007",Series_B
84,Vivox,"$7,800,000","Nov  1, 2007",Series_B
85,Superfish,"$5,300,000","Jan  5, 2009",Series_B
86,Embotics,"$4,000,000","Dec 10, 2008",Series_B
87,Avalon-Clones,"$3,000,000","Jun 23, 2013",Series_B
89,Scale-Computing,"$9,000,000","Mar  2, 2010",Series_B
90,Guidespark,"$15,000,000","Mar  5, 2014",Series_B
91,Vidient,"$12,000,000","Oct 18, 2005",Series_B
92,Starboard-Storage-Systems,"$13,000,000","May 13, 2012",Series_B
93,ScrollMotion,"$7,000,000","Oct  7, 2011",Series_B
94,NxThera,"$21,600,000","Oct  4, 2011",Series_B
97,LendKey-Technologies,"$12,500,000","Aug  7, 2013",Series_B
98,Ifbyphone,"$8,000,000","Dec 28, 2010",Series_B
99,Federated-Media,"$4,500,000","Aug  1, 2007",Series_B
100,Buzzwire,"$8,000,000","Dec  1, 2007",Series_B
101,NewsHunt,"$18,000,000","Sep 22, 2014",Series_B
102,Webvanta,"$450,000","Dec 20, 2012",Series_B
103,Audax-Health-Solutions,"$29,000,000","Jan 29, 2014",Series_B
104,Legend3D,"$8,000,000","Feb  4, 2013",Series_B
105,ExtraHop-Networks,"$14,000,000","May  3, 2011",Series_B
106,OpenX,"$15,500,000","Jan  1, 2008",Series_B
107,UnboundID,"$12,500,000","Mar 27, 2012",Series_B
111,Procore-Technologies,"$4,000,000","Jan 25, 2007",Series_B
112,iPrint,"$7,500,000","Mar  1, 1999",Series_B
113,Cloud-Cruiser,"$6,000,000","Jun 12, 2012",Series_B
114,AngioSlide,"$8,600,000","May  1, 2008",Series_B
115,Multiwave-Photonics,"$7,720,000","May 11, 2008",Series_B
116,The-Filter,"$1,200,000","Feb 18, 2009",Series_B
117,Datalogix,"$25,000,000","Apr 25, 2013",Series_B
118,WellnessFX,"$4,000,000","Dec 12, 2011",Series_B
119,HourlyNerd,"$7,800,000","Feb  4, 2015",Series_B
121,Coho-Data,"$25,000,000","Nov  5, 2013",Series_B
123,NationBuilder,"$8,000,000","Jun  6, 2013",Series_B
126,Balluun,"$8,700,000","Jul 23, 2013",Series_B
127,Hookipa-Biotech,"$25,700,000","Nov  4, 2013",Series_B
128,Fixmo,"$6,500,000","Jun  1, 2011",Series_B
129,YouNow,"$15,000,000","Aug  1, 2014",Series_B
130,Trust-Digital,"$9,000,000","Nov  4, 2005",Series_B
132,Twist-Bioscience,"$26,000,000","May 27, 2014",Series_B
133,HookLogic,"$14,000,000","Sep  9, 2013",Series_B
134,RadiumOne,"$21,200,000","Mar 10, 2011",Series_B
135,Little-Black-Bag,"$8,000,000","Aug 16, 2012",Series_B
136,Pinpoint-Software,"$300,000","Dec  7, 2012",Series_B
139,Reachable,"$5,600,000","Nov 10, 2010",Series_B
140,Adaptive-Payments-India-Private,"$4,900,000","Oct 16, 2012",Series_B
141,XVionics,"$3,000,000","Nov  4, 2005",Series_B
143,XMPie,"$5,000,000","Nov  1, 2004",Series_B
144,Deliveroo,"$25,000,000","Jan 29, 2015",Series_B
145,Groxis,"$4,000,000","Aug 28, 2006",Series_B
146,Loxo-Oncology,"$24,000,000","May  6, 2014",Series_B
147,Funny-Or-Die,"$15,000,000","Dec  1, 2007",Series_B
148,Wonga,"$22,250,000","Jun  8, 2009",Series_B
149,SARcode-Bioscience,"$44,000,000","Jul 18, 2011",Series_B
150,Acumen-Holdings,"$5,000,000","Feb  2, 2012",Series_B
151,VM-Discovery,"$970,000","Jan  3, 2006",Series_B
155,Glycos-Biotechnologies,"$4,200,000","Oct 20, 2010",Series_B
156,Qteros,"$25,000,000","Nov 19, 2008",Series_B
157,Double-Fusion,"$10,000,000","Nov 11, 2005",Series_B
158,Mistral-Solutions,"$6,500,000","Feb  6, 2008",Series_B
159,Tracx,"$4,400,000","Feb 16, 2012",Series_B
160,Wize,"$988,000","Jan  1, 2008",Series_B
163,Birchbox,"$60,000,000","Apr 21, 2014",Series_B
164,AutekBio,"$1,000,000","Oct 22, 2007",Series_B
165,Dxterity,"$790,000","May 11, 2010",Series_B
166,Rui-Yi,"$15,000,000","Mar 27, 2014",Series_B
167,Yipit,"$6,000,000","Jun  6, 2011",Series_B
168,Sophia-Genetics,"$13,800,000","Jul  7, 2014",Series_B
169,TravelBird,"$26,500,000","Nov 19, 2014",Series_B
170,SPS-Commerce,"$18,000,000","May 19, 2003",Series_B
171,QuantiaMD,"$10,000,000","Sep 12, 2013",Series_B
172,Envox-Group,"$5,300,000","Oct  9, 2005",Series_B
173,TinderBox,"$1,300,000","Feb 25, 2013",Series_B
174,365-Data-Centers,"$16,000,000","Sep 10, 2014",Series_B
176,Genalyte,"$11,800,000","Mar 30, 2012",Series_B
177,Truist,"$3,800,000","Oct 27, 2005",Series_B
178,Scientific-Conservation,"$15,650,000","Jan 19, 2011",Series_B
179,Knopp-Neurosciences,"$10,000,000","Jan 22, 2008",Series_B
180,Boxfish,"$7,000,000","Mar 17, 2014",Series_B
181,Premise,"$11,000,000","Mar 13, 2014",Series_B
182,Disqus,"$500,000","Mar  3, 2008",Series_B
183,Ingram-Medical,"$30,000,000","Sep  5, 2013",Series_B
184,Dreamerz-Foods,"$10,000,000","Jun  6, 2007",Series_B
185,PanOptica,"$45,000,000","Apr 15, 2014",Series_B
186,Authentium,"$6,000,000","Apr  1, 2007",Series_B
187,Aristotle-Circle,"$2,000,000","Apr 19, 2011",Series_B
189,Wound-Care-Technologies,"$1,000,000","Feb  6, 2009",Series_B
190,Xeris-Pharmaceuticals,"$7,300,000","Sep 29, 2014",Series_B
191,Quantason,"$3,200,000","Oct 23, 2012",Series_B
192,DoublePositive,"$2,700,000","Sep  1, 2006",Series_B
193,LiquidPlanner,"$8,000,000","May  8, 2014",Series_B
194,Eos-Energy-Storage,"$15,000,000","May 20, 2013",Series_B
195,Kiip,"$11,000,000","Jul 17, 2012",Series_B
196,Mosaic,"$8,500,000","Jul 29, 2013",Series_B
197,AML-Superconductivity-and-Magnetics,"$2,125,000","Sep  1, 2014",Series_B
198,GridGain-Systems,"$10,000,000","Jul 29, 2013",Series_B
199,Channel-Medsystems,"$9,800,000","May  2, 2013",Series_B
200,Neo-Technology,"$11,000,000","Nov  2, 2012",Series_B
201,Cozi-Group,"$1,300,000","Jan  1, 2006",Series_B
202,Livingly-Media,"$8,900,000","May  1, 2012",Series_B
203,Artwise,"$1,000,000","Jul 30, 2013",Series_B
204,Paymetric,"$8,000,000","Aug  8, 2009",Series_B
205,iProf-Learning-Solutions-India,"$9,000,000","Jan 23, 2014",Series_B
206,Oraya-Therapeutics,"$18,000,000","Jan 11, 2008",Series_B
207,Singlepipe-Communications,"$5,100,000","Apr  7, 2009",Series_B
208,ShopIgniter,"$8,000,000","May 25, 2011",Series_B
209,Secure-Software,"$9,250,000","Feb 10, 2005",Series_B
210,Become,"$7,200,000","Aug  1, 2005",Series_B
212,Contrafect,"$12,000,000","Oct 26, 2010",Series_B
214,Aptana,"$5,500,000","Feb 27, 2009",Series_B
215,Aito-BV,"$2,700,000","Jun 18, 2014",Series_B
216,Optify,"$6,100,000","Oct 20, 2010",Series_B
217,Trusteer,"$6,100,000","Oct 21, 2008",Series_B
218,PowerFile,"$10,000,000","Jan 16, 2006",Series_B
219,MediaBoost,"$4,700,000","Jun 30, 2008",Series_B
220,House-Party,"$3,400,000","Mar 18, 2009",Series_B
221,Spongecell,"$10,000,000","Feb  7, 2012",Series_B
222,Mig33,"$13,500,000","Jan 27, 2008",Series_B
223,Madvertise,"$10,000,000","Oct 10, 2011",Series_B
224,NatureBox,"$18,000,000","Apr 14, 2014",Series_B
225,Milyoni,"$11,000,000","Feb 23, 2012",Series_B
226,SavaJe-Technologies,"$17,500,000","Mar 17, 2003",Series_B
227,RiverMeadow-Software,"$12,000,000","Sep  5, 2013",Series_B
229,ShapeUp,"$5,000,000","Nov  5, 2013",Series_B
230,Poshmark,"$12,000,000","Dec  4, 2012",Series_B
231,Stitch-Fix,"$12,000,000","Oct 17, 2013",Series_B
232,Satellier-Inc,"$10,000,000","Sep 29, 2007",Series_B
233,HelloWallet,"$12,000,000","Jan 26, 2012",Series_B
234,Immune-Design,"$32,000,000","Jul 26, 2010",Series_B
235,Phoseon-Technology,"$6,400,000","Mar 21, 2005",Series_B
236,Spoken-Communications,"$11,500,000","Feb  7, 2012",Series_B
237,MakeMyTrip,"$13,000,000","Dec 14, 2006",Series_B
239,QualVu,"$1,900,000","Jan 16, 2012",Series_B
240,Aktino,"$16,000,000","May 12, 2005",Series_B
241,Nabriva-Therapeutics,"$22,000,000","Jan 17, 2010",Series_B
242,Simply-Measured,"$8,000,000","Jan 22, 2013",Series_B
243,Garlik,"$11,950,000","Apr 26, 2007",Series_B
244,Docstoc,"$3,250,000","Apr 28, 2008",Series_B
245,XunLight,"$22,000,000","May  7, 2008",Series_B
246,Tissue-Regeneration-Systems,"$4,600,000","Aug 22, 2013",Series_B
247,Placeiq,"$6,800,000","May  7, 2013",Series_B
248,Chartboost,"$19,000,000","Jan  8, 2013",Series_B
249,BLADE-Network-Technologies,"$10,000,000","Sep  9, 2009",Series_B
250,Liquid-Robotics,"$3,000,000","Jan  1, 1000",Series_B
251,Ntirety,"$1,000,000","Mar 26, 2008",Series_B
253,Zynstra,"$8,400,000","Jul  9, 2014",Series_B
254,Stellaris,"$1,450,000","Jun 26, 2008",Series_B
257,Widgetbox,"$8,000,000","Jan  1, 2008",Series_B
258,Libredigital,"$15,000,000","Jul 29, 2009",Series_B
259,DanceJam,"$3,500,000","Feb  1, 2008",Series_B
260,CorNova,"$2,500,000","Jan 17, 2010",Series_B
261,Sonexis-Technology,"$2,500,000","Aug  2, 2005",Series_B
262,Wrap-Media,"$12,700,000","Sep  3, 2015",Series_B
264,Worktopia,"$5,400,000","Mar 15, 2008",Series_B
265,Silverlink-Communications,"$5,600,000","May 19, 2004",Series_B
266,Rhythmia-Medical,"$7,000,000","Feb  6, 2007",Series_B
267,Quinstreet,"$40,000,000","Dec 10, 2000",Series_B
268,Bionostra,"$2,390,000","Oct 14, 2005",Series_B
270,Guardian-Analytics,"$4,500,000","Oct  1, 2007",Series_B
271,Healthline-Networks,"$21,000,000","Jul  1, 2007",Series_B
273,Bridgestream,"$6,500,000","Apr  5, 2006",Series_B
274,Getaround,"$13,900,000","Aug  2, 2012",Series_B
275,Cirtas-Systems,"$22,500,000","Jan 25, 2011",Series_B
276,NeuWave-Medical,"$14,000,000","Sep  5, 2012",Series_B
277,Terascala,"$14,000,000","Apr 24, 2012",Series_B
280,HarQen,"$4,300,000","Oct  1, 2011",Series_B
281,Tier-3,"$10,000,000","Oct  4, 2012",Series_B
282,Thingworx,"$5,000,000","Feb 16, 2011",Series_B
283,Kenandy,"$33,000,000","Jun 10, 2013",Series_B
