,Names,Series_Amount,Series_Date,Series_Type
206,Oraya-Therapeutics,"$4,000,000","Jun 18, 2007",Series_A
208,ShopIgniter,"$3,000,000","Mar  3, 2010",Series_A
210,Become,"$4,500,000","Sep  1, 2004",Series_A
212,Contrafect,"$2,200,000","Oct 26, 2010",Series_A
216,Optify,"$2,750,000","Oct 10, 2008",Series_A
219,MediaBoost,"$1,500,000","Aug 19, 2007",Series_A
220,House-Party,"$1,250,000","Jan  1, 2006",Series_A
222,Mig33,"$10,000,000","May  7, 2007",Series_A
224,NatureBox,"$8,500,000","Jul 23, 2013",Series_A
225,Milyoni,"$3,000,000","May 25, 2011",Series_A
229,ShapeUp,"$5,000,000","Aug 16, 2010",Series_A
230,Poshmark,"$3,500,000","Feb  1, 2011",Series_A
231,Stitch-Fix,"$4,750,000","Feb 28, 2013",Series_A
233,HelloWallet,"$3,600,000","May  6, 2010",Series_A
234,Immune-Design,"$18,000,000","Jul  7, 2008",Series_A
239,QualVu,"$750,000","Feb 12, 2008",Series_A
243,Garlik,"$5,400,000","Apr 24, 2006",Series_A
244,Docstoc,"$750,000","Nov  1, 2007",Series_A
247,Placeiq,"$4,200,000","Dec 12, 2011",Series_A
248,Chartboost,"$2,000,000","Oct  1, 2011",Series_A
250,Liquid-Robotics,"$2,000,000","Jul 25, 2007",Series_A
253,Zynstra,"$3,800,000","Sep 12, 2013",Series_A
254,Stellaris,"$6,000,000","Dec  1, 2007",Series_A
257,Widgetbox,"$5,000,000","Jun  1, 2007",Series_A
264,Worktopia,"$5,000,000","Oct  1, 2007",Series_A
270,Guardian-Analytics,"$1,300,000","Jan  1, 2006",Series_A
271,Healthline-Networks,"$14,000,000","Jan  1, 2006",Series_A
274,Getaround,"$3,400,000","Sep  9, 2011",Series_A
275,Cirtas-Systems,"$10,000,000","Sep 20, 2010",Series_A
280,HarQen,"$2,700,000","Jan  1, 2010",Series_A
281,Tier-3,"$8,500,000","Mar  9, 2011",Series_A
283,Kenandy,"$10,500,000","Aug 29, 2011",Series_A
286,Instart-Logic,"$9,000,000","Feb  1, 2012",Series_A
288,Greenphire,"$1,500,000","Sep 16, 2011",Series_A
294,Travelshark,"$3,000,000","Jan  1, 1000",Series_A
295,Xlumena,"$3,000,000","May 17, 2010",Series_A
296,Betaworks,"$7,500,000","Jan  1, 2008",Series_A
299,Ayla-Networks,"$5,400,000","Jun  5, 2013",Series_A
300,CloudOn,"$8,000,000","May  1, 2011",Series_A
301,Incline-Therapeutics,"$43,000,000","Jun 28, 2010",Series_A
303,AutoVirt,"$4,500,000","Jan  1, 2008",Series_A
304,Entone-Technologies,"$9,500,000","May  2, 2003",Series_A
306,Inmagic,"$5,000,000","Dec  1, 2007",Series_A
307,Peer39,"$3,000,000","Feb  1, 2007",Series_A
308,Spectra-Analysis,"$1,350,000","Feb  2, 2006",Series_A
316,Covestor,"$6,500,000","Apr  7, 2008",Series_A
318,Aternity,"$7,500,000","Feb 14, 2005",Series_A
320,Nimbuzz,"$10,000,000","Jun  1, 2007",Series_A
325,GreenSQL,"$1,500,000","Sep 30, 2009",Series_A
327,Flypaper,"$3,000,000","Feb  1, 2008",Series_A
328,Seatwave,"$3,000,000","May  1, 2006",Series_A
329,OpenSky,"$5,000,000","May  1, 2009",Series_A
330,Adura-Technologies,"$5,000,000","Oct 16, 2008",Series_A
331,enVista,"$5,000,000","May 28, 2007",Series_A
333,DogVacay,"$6,000,000","Nov  1, 2012",Series_A
334,iPierian,"$30,000,000","Sep  4, 2013",Series_A
336,SpaceCurve,"$3,500,000","Aug 13, 2012",Series_A
337,Yieldmo,"$4,100,000","Aug 28, 2012",Series_A
338,Cylance,"$15,000,000","Feb 13, 2013",Series_A
339,Picateers,"$5,500,000","Jan  1, 2006",Series_A
343,TinyCo,"$18,000,000","Feb 25, 2011",Series_A
345,Topsy-Labs,"$900,000","Jan  1, 2008",Series_A
346,Synchroneuron,"$6,000,000","Feb  6, 2012",Series_A
349,Personetics-Technologies,"$6,500,000","May 25, 2011",Series_A
351,Animoto,"$600,000","Aug  1, 2007",Series_A
353,Ortiva-Wireless,"$12,000,000","Feb  1, 2005",Series_A
355,Optimizely,"$28,000,000","Apr 16, 2013",Series_A
356,Virtual-Computer,"$6,000,000","Dec  1, 2007",Series_A
357,Machine-Zone,"$5,300,000","Mar 28, 2012",Series_A
358,Clean-Power-Finance,"$3,600,000","Jan  6, 2010",Series_A
362,RedMart,"$1,600,000","Jul 15, 2013",Series_A
363,Untangle,"$10,500,000","Dec 11, 2006",Series_A
364,Instromedix,"$1,000,000","Mar 22, 2007",Series_A
366,Providence-Medical-Technology,"$1,200,000","Dec 31, 2008",Series_A
367,Edgeware,"$1,450,000","Jan 26, 2006",Series_A
368,Exinda-Networks,"$6,000,000","May  1, 2004",Series_A
369,Sendia,"$4,500,000","Dec  1, 2003",Series_A
370,GliaCure,"$2,800,000","Apr 25, 2012",Series_A
372,Speeddate,"$2,600,000","Jan  1, 2007",Series_A
376,Swiftype,"$7,500,000","Sep 27, 2013",Series_A
377,Gather,"$3,000,000","Dec  1, 2004",Series_A
380,MUJIN,"$950,000","Sep 20, 2012",Series_A
384,Vyatta,"$7,500,000","Sep 13, 2006",Series_A
386,OPX-Biotechnologies,"$3,600,000","Dec  6, 2007",Series_A
387,QPID-Health,"$4,000,000","Mar 20, 2013",Series_A
389,MediQuest-Therapeutics,"$16,000,000","Jun 15, 2006",Series_A
390,Fat-Spaniel-Technologies,"$7,000,000","Oct 16, 2006",Series_A
391,Glasshouse-Technologies,"$1,499,900","Jul  1, 2001",Series_A
392,Gemvara,"$5,800,000","Jul  1, 2008",Series_A
396,Oqo,"$800,000","Dec  1, 2000",Series_A
397,Fraudwall-Technologies,"$1,100,000","Mar  1, 2007",Series_A
398,Arcot-Systems,"$11,000,000","May 10, 2005",Series_A
399,Six-Degrees-Games,"$7,000,000","Jul 29, 2008",Series_A
401,WideOrbit,"$2,000,000","Jul 14, 1999",Series_A
405,Viadeo,"$6,380,000","Jun  1, 2006",Series_A
406,MediaPlatform,"$3,000,000","Jan  1, 2006",Series_A
407,Wealthengine,"$5,000,000","Mar  1, 2010",Series_A
409,NEXAGE,"$4,000,000","Jul 10, 2009",Series_A
410,UniversityNow,"$4,200,000","Dec  1, 2010",Series_A
412,ChaCha,"$3,000,000","Nov  1, 2006",Series_A
414,Sprinklr,"$5,000,000","Mar  7, 2012",Series_A
415,Startforce,"$1,000,000","Sep  1, 2007",Series_A
416,Clinicient,"$2,100,000","Apr  1, 2009",Series_A
417,Shoedazzle,"$7,000,000","Nov 19, 2009",Series_A
418,Cequent-Pharmaceuticals,"$9,000,000","Jun 18, 2007",Series_A
421,8D-World,"$7,000,000","Mar  1, 2008",Series_A
422,TopSchool,"$3,200,000","Jun 17, 2008",Series_A
425,Wikinvest,"$2,500,000","Oct  1, 2007",Series_A
426,8-Securities,"$12,000,000","Jun 30, 2012",Series_A
431,DotCloud,"$10,000,000","Mar 22, 2011",Series_A
