Unnamed: 0,mean_neg,mean_pos,total_neg,total_pos
62355,0.020620346,0.029135664,0.022222222,0
168856.5,0.038289746,0.068850256,0.010989011,0.082417582
19004.5,0.034890817,0.043076247,0.041666667,0.083333333
84619.5,0.011970439,0.021867271,0,0.009803922
157535,0.012390774,0.015751155,0,0.009708738
75478.5,0.018303571,0.014756944,0,0
146027,0.018364298,0.042563833,0,0.060606061
32174,0.026669472,0.044848999,0.029850746,0.029850746
92667.5,0.019701217,0.046835995,0.006329114,0.006329114
168112.5,0.036363951,0.058589433,0.051546392,0.077319588
21376.5,0.033842373,0.063491439,0.009090909,0.109090909
86880,0.01632753,0.029531522,0,0
57047.5,0.030756938,0.057384448,0,0.068181818
128288.5,0.025321035,0.09210003,0.016666667,0.175
181397,0.0625,0.294642857,0,0.333333333
5503,0.030289106,0.030359968,0,0
44397,0.088541667,0.083333333,0,0
6631,0.016809765,0.038193028,0,0.117647059
73628.5,0.021415361,0.037836936,0,0
50790,0.032786901,0.070523441,0.016216216,0.113513514
158699.5,0.035300913,0.075259049,0.024096386,0.096385542
38765,0,0.0875,0,0
23711,0.049325426,0.063058521,0.153846154,0.11965812
55104.5,0.015501668,0.069872306,0,0.095238095
28295,0,0,0,0
112254,0.007227891,0.02245671,0,0
110962.5,0.028501157,0.034982639,0,0
155510.5,0.01212582,0.006522401,0,0
167426,0.013946461,0.028122681,0.018867925,0.018867925
47176,0.033125029,0.043590263,0.049689441,0.055900621
57242.5,0.03625306,0.111919022,0,0.25
128521,0.022184474,0.07953645,0.01459854,0.160583942
98624,0.04,0,0,0
4577,0.040220984,0.062626962,0.023391813,0.064327485
64482.5,0.016549351,0.026752983,0,0.048780488
22001.5,0.020209279,0.071926534,0,0.131578947
91371,0.018578993,0.046813124,0,0.015873016
88605,0.03125,0.0859375,0,0
27491.5,0.022019683,0.045302734,0.015384615,0.046153846
74600,0,0.322916667,0,1
142046,0.034634208,0.071286782,0,0.042735043
65859.5,0.031653181,0.04309787,0,0.103448276
20028,0.03125,0,0,0
115476,0,0,0,0
105962,0,0,0,0
15713.5,0.016666667,0.00875,0,0
116339,0,0,0,0
119518.5,0.02753343,0.04176671,0.043478261,0.086956522
186050,0.041996222,0.068597309,0.068965517,0.034482759
193342,0.030562468,0.049916098,0.020408163,0.081632653
54609.5,0.062574405,0.033688447,0.125,0
62739,0,0.007765152,0,0
143328.5,0.006758433,0.023871528,0,0
182457.5,0.027936428,0.04561379,0.028571429,0.035714286
96491.82143,0.004538062,0.016540082,0,0
106021,0,0.007765152,0,0
180732.5,0.006758433,0.023871528,0,0
180900.5,0.027342664,0.043088172,0.030769231,0.038461538
183246.5,0.043922479,0.076601414,0,0.1
40992.5,0.03422619,0.045188492,0,0
73153.5,0.0078125,0,0,0
52871,0.006613757,0.046792328,0,0
124259.5,0.017666225,0.048548035,0.017857143,0.044642857
15284.5,0.0078125,0.00390625,0,0
78895,0.006666667,0.017291667,0,0
150482,0.020985861,0.041653745,0,0.076923077
76445.5,0,0.4375,0,0.5
147341,0.02380955,0.02843333,0,0.044444444
3635.5,0.011898148,0.013900463,0,0
134937,0.020444459,0.042919639,0,0.025974026
140889,0.032199158,0.059751738,0.049079755,0.079754601
41281,0,0,0,0
111542.5,0.029613095,0.02202381,0,0
97847.5,0.022425277,0.037413499,0,0.088235294
32221,0.02580754,0.045545732,0,0.037037037
137330,0.018014394,0.042837969,0,0.023529412
53960.5,0.016829649,0.016078515,0,0
125677.5,0.02069017,0.052876064,0.029411765,0.068627451
106498,0,0,0,0
175007.5,0.033362854,0.064116161,0.025862069,0.043103448
58186.5,0.014183279,0.048342843,0,0.03125
167789,0.032131043,0.056892601,0.032,0.072
194195.5,0.023139881,0.0253125,0,0
194258,0.012508269,0.045666337,0,0.043478261
63340.5,0,0,0,0
95294,0.017581239,0.046748889,0.013333333,0.013333333
176159,0.017476852,0.015856481,0,0
41610.5,0.026577684,0.047021171,0.005617978,0.061797753
146450,0.040123872,0.054602813,0.021164021,0.037037037
672.5,0.029705468,0.054646052,0.029126214,0.072815534
58905,0.045572873,0.048763746,0.049751244,0.064676617
166872,0.035672393,0.035103429,0.037914692,0.047393365
21453,0.008333333,0.159722222,0,1
93672.5,0.033720443,0.087445433,0.055555556,0.277777778
160445.5,0.027768241,0.115230241,0.00877193,0.289473684
134898,0,0,0,0
149001.5,0,0.006944444,0,0
13769,0.005415765,0.061752437,0,0.066666667
77154.5,0.009414931,0.018569692,0,0.01
141314.5,0.013320545,0.054770782,0,0.035087719
166392,0,0.098214286,0,0
123138,0,0,0,0
53749.5,0.049479167,0.02639678,0,0
161822.5,0.02428916,0.021376293,0,0.025641026
121863.5,0.09375,0.067708333,0,0
168247,0.009525634,0.028745202,0,0.013333333
7030,0.045912963,0.075946996,0.042553191,0.085106383
183095,0.034716454,0.062010148,0.023121387,0.069364162
149688.5,0.052083333,0.114583333,0,0
65694,0.089285714,0.125,0,0
6298.5,0.040509004,0.052451513,0.019230769,0.038461538
67186,0.024857968,0.030211777,0.015037594,0.015037594
38491.5,0.013888889,0.019097222,0,0
176379,0.008717817,0.059385395,0,0.090909091
154178,0,0.25,0,0
114005.5,0.014642203,0.067456523,0,0.21875
66444,0.013888889,0.034722222,0,0
164797.5,0.017552166,0.045395212,0,0.078947368
35594,0.022692179,0.056805207,0,0
138097,0.033674661,0.049655321,0.020408163,0.06122449
19414.5,0.042525657,0.079867059,0,0.068181818
85155,0.064887167,0.056996027,0.007407407,0.074074074
158319.5,0.069956045,0.064825463,0.019230769,0.019230769
96589,0.044374651,0.039307877,0,0
149014,0.067203022,0.032159876,0.086956522,0
145650.5,0.017472643,0.021742424,0,0
38709,0.027563892,0.082573815,0,0.137931034
143926.5,0.027755555,0.085011554,0,0.166666667
107037,0.014095123,0.058333151,0,0.056179775
189075,0,0,0,0
132473,0,0,0,0
182047,0.002732684,0.028829966,0,0.066666667
37811,0.005952381,0,0,0
97352,0.030853175,0.002777778,0.066666667,0
76252.5,0.03994817,0.038747583,0,0.03125
80039.5,0.02451912,0.045963206,0.007936508,0.031746032
11435.5,0.004166667,0.0025,0,0
73392.5,0.020997525,0.065229332,0,0.071428571
183871,0.028051541,0.054875808,0.01980198,0.108910891
6213,0.046664683,0.064733466,0.08,0.12
93386.5,0.036485942,0.047714943,0.033333333,0.055555556
70991,0.045746545,0.05214726,0,0.063829787
134728.5,0.026173639,0.045964867,0.018181818,0.090909091
113754.6457,0.04096614,0.075769292,0.031496063,0.11023622
160771,0,0,0,0
195235.5,0.017358815,0.073326582,0,0.083333333
114690.5,0.018386093,0.045967938,0,0
56976,0.003358844,0.021527778,0,0
165535,0.009634863,0.028624095,0,0.010989011
87036.5,0.043402778,0.060763889,0,0
35720.5,0.041666667,0.015625,0,0
104684,0.0061198,0.021400375,0,0.012658228
78468,0.022727273,0.005681818,0,0
24909,0.064513492,0.090637145,0.122807018,0.157894737
91724,0.020206004,0.050462264,0,0.051851852
165802.5,0.022069694,0.02849684,0.022727273,0.03030303
15183,0.021655359,0.048754678,0,0.033898305
78784.5,0.021348657,0.047800074,0,0.027777778
20530,0.05695397,0.087603092,0.068376068,0.11965812
86404,0.027777778,0.006944444,0,0
104427.5,0.063545583,0.025886983,0.052631579,0
21858,0.054053601,0.069043972,0,0.058823529
87277.5,0.030363091,0.053941735,0,0.03125
160896,0.023997858,0.049396713,0.01369863,0.095890411
37547,0.118453244,0.042781228,0.391304348,0.130434783
106824,0.017958947,0.04601237,0,0.055045872
120088,0.28125,0.21875,0,0
41941,0.050992063,0.0515625,0,0
146934,0.050992063,0.0515625,0,0
187600.5,0.028324644,0.060485397,0,0.106060606
182641,0.032646183,0.057646183,0,0.058823529
182543.5,0.023173097,0.044489397,0.03125,0
15701,0.041235954,0.076737746,0,0
79821,0.099685847,0.080224868,0.222222222,0.222222222
151258,0.039299887,0.037731481,0,0.047619048
193252.5,0.020559211,0.051784844,0.052631579,0.105263158
57588,0.01517094,0.052564103,0,0
166692.5,0.001923077,0.078846154,0,0
139714,0,0.75,0,1
141559,0.023554113,0.022577922,0,0
23054.85714,0.0800931,0.07919054,0.095238095,0.095238095
89212,0.036074958,0.039371592,0.016393443,0.032786885
162724.5,0.034849615,0.054792729,0.016666667,0.091666667
56800,0.056475971,0.094401014,0.023255814,0.093023256
165385,0.019649073,0.046442693,0,0.06122449
161783,0,0,0,0
134531,0,0.071428571,0,0
186761,0.020970866,0.055806262,0,0.063291139
17875.5,0.054052806,0.090085974,0.077777778,0.133333333
83037.5,0.040820099,0.052339529,0.061111111,0.05
134066.5,0.004166667,0.019223485,0,0
84735,0.012152778,0.029803241,0,0
27094.5,0.050277327,0.06290391,0.029411765,0.029411765
97508,0.030696649,0.050549646,0.009708738,0.058252427
147316.5,0.026160714,0.0234375,0,0
76941.5,0.028281907,0.061838967,0,0.096153846
109178,0,0,0,0
183695.5,0.01450968,0.027451599,0,0
183652.6667,0.012856236,0.044811328,0,0
7379,0.055555556,0,0,0
35714,0.025837074,0.110479798,0,0.111111111
75974,0.021532763,0.03305818,0,0.010752688
58360.5,0.091619318,0.029119318,0.125,0
129597.5,0.031341213,0.042072369,0.013513514,0.040540541
91079,0.097286427,0.09987086,0.4,0.2
11075,0.027631646,0.067822943,0.005714286,0.114285714
69777,0.031593319,0.05584428,0.032085561,0.042780749
19256.5,0.037899507,0.076887428,0.0625,0.09375
84702,0.026659781,0.065959215,0.031746032,0.095238095
162895,0.031494503,0.069434163,0.011235955,0.04494382
24216,0.02961217,0.075129915,0,0.189189189
56122,0.031470206,0.045366811,0.033898305,0.016949153
109834,0.031479145,0.028483445,0,0
5458,0.016038379,0.080480205,0,0.102564103
97316,0.033734495,0.041062174,0.052631579,0.052631579
87086,0.046875,0.063988095,0,0
77745,0.018185325,0.086318042,0,0
10640.5,0.030931278,0.048472092,0,0
72429,0.02522896,0.048392804,0,0.02962963
178946.5,0,0.0625,0,0
119620,0.013039563,0.011422236,0,0
125455.5,0.011848869,0.026732714,0,0.022727273
110190.5,0.0625,0,0,0
176674,0.015552148,0.041406425,0,0
159570,0.041666667,0.069444444,0,0
194027.5,0.037042425,0.017438514,0.1,0
196346.5,0.026871031,0.032223104,0.026315789,0
166258.5,0,0.065162037,0,0.5
43763,0,0.154017857,0,0
121845,0.008252818,0.014694042,0,0
169346,0,0,0,0
183580.5,0.020770715,0.030956098,0,0.046875
12702,0.063715278,0.09296875,0,0
114758.5,0.01725103,0.055943987,0,0.125
19061,0.019169557,0.036650528,0.033707865,0.011235955
84502,0.025455963,0.04681874,0.015037594,0.007518797
81471,0.012276054,0.037857187,0,0
95515.5,0.036458333,0.1015625,0,0
171279.5,0.008638617,0.024319136,0,0
171365.5,0.016387094,0.052781372,0,0.111111111
46021,0.023179169,0.053907215,0.018691589,0.08411215
151533,0.02707254,0.056370029,0,0.034188034
116431.5,0,0.083333333,0,0
194033,0,0.166666667,0,0
116643.5,0.005208333,0.098958333,0,0
111923,0.01875,0.058333333,0,0
195024.5,0.024163011,0.049909988,0.007246377,0.050724638
117532,0.031598969,0.078379124,0.038674033,0.071823204
71529,0.015956487,0.022408293,0.052631579,0
49816,0.036989071,0.031791816,0,0.064516129
130693,0.054351766,0.046590372,0.095238095,0
6123,0.037948343,0.064324152,0.064516129,0.141935484
66778.5,0.022770455,0.030939307,0.006944444,0.006944444
147664,0.182512315,0.032854577,0.24137931,0.034482759
7884,0.028371158,0.055306705,0,0.072
105035,0.023938074,0.054865036,0,0.040816327
4188,0,0,0,0
30738,0.03141791,0.107278376,0.023529412,0.152941176
155944,0,0,0,0
41467.5,0.047370042,0.055181603,0.046296296,0.074074074
151722.5,0.035747055,0.0558527,0.038888889,0.016666667
119977,0.035416667,0.028075397,0,0.2
18434.5,0.034298256,0.070705215,0.0625,0.138888889
157019,0.046049608,0.054585042,0.07253886,0.129533679
63995.5,0.011842758,0.04026921,0,0
156199.5,0.009442515,0.0522117,0,0.055555556
197647.5,0.009442515,0.0522117,0,0.055555556
35380,0.029420385,0.075557906,0,0.043478261
104478.5,0.027226174,0.047236312,0,0.035714286
192001.5,0.077109746,0.050150227,0.015151515,0.053030303
85228,0.01444729,0.090099542,0,0
158532,0.00984623,0.066856812,0,0
91335,0.07349537,0.030092593,0.111111111,0
165420,0.012402565,0.017984694,0,0
24988,0.037079467,0.066826978,0.03960396,0.079207921
48846.5,0.02217775,0.058458411,0.009803922,0.039215686
13234,0.025650852,0.063221951,0.00729927,0.109489051
76775.5,0.030389773,0.049628653,0.010638298,0.053191489
147748,0.024087524,0.033547392,0.022900763,0.022900763
39250,0.03045831,0.053518491,0.024390244,0.024390244
109583,0.025,0.127083333,0,0.2
95511,0,0,0,0
169575,0.037209341,0.051875956,0.006369427,0.050955414
33873.5,0.0181875,0.049092888,0,0.038461538
130171,0.033277822,0.061484498,0.012048193,0.072289157
78128.5,0.024579291,0.080568975,0.017241379,0.120689655
167646,0.018340932,0.041851145,0.006535948,0.019607843
183491.5,0.026721635,0.040689517,0,0.043859649
26456,0.05475899,0.063568399,0.082352941,0.082352941
152163.5,0.034359506,0.051242956,0.064102564,0.051282051
150700.5,0.07496974,0.063684156,0,0.1
192530.5,0.042700216,0.076222364,0,0
24405,0.047018034,0.063328507,0.055172414,0.117241379
91006,0.014232324,0.03467135,0.017391304,0.052173913
5615,0.03352062,0.052276194,0.070967742,0.103225806
65980.5,0.014427624,0.050085865,0.012658228,0.063291139
9331,0.042927538,0.058909567,0.061728395,0.049382716
71699.5,0.025135267,0.027103846,0,0.014285714
6440,0.048391008,0.068312438,0,0.047619048
38503,0.016024161,0.041667629,0,0.052631579
5375.5,0.036183556,0.06601065,0.023809524,0.103174603
65633,0.020692822,0.041076031,0.008264463,0.024793388
136887,0.025424272,0.068252988,0,0.093023256
172144.5,0.031578703,0.048655807,0.036231884,0.043478261
50983.5,0.009427998,0.042037905,0,0.05
167094.5,0.014865469,0.057840621,0,0.071428571
2181,0.045815169,0.052344787,0.069767442,0.093023256
135315,0.01382286,0.044995323,0,0.016806723
161720,0.020410787,0.061617561,0.008264463,0.066115702
165581.5,0.015593434,0.017171717,0,0
82685,0.056122412,0.04114854,0.044776119,0.014925373
86804,0.625,0.1875,1,0
162457,0.020753725,0.032472224,0,0.018018018
22570,0.043855219,0.117529461,0,0
104448,0,0,0,0
106985.5,0.014571738,0.070914205,0,0
16809,0.021244921,0.044195397,0.028169014,0.056338028
34749,0.014883197,0.075694616,0.008,0.112
96065.5,0.043076923,0.067890053,0,0
94712.5,0.015625,0.05625,0,0
147680.5,0,0.0234375,0,0
148164.5,0.061721806,0.065449173,0.056603774,0.018867925
22582,0.028980708,0.122284921,0,0.19047619
64358.5,0.0272947,0.061859936,0,0.090909091
59760,0,0,0,0
35099,0.010792988,0.051468857,0.008547009,0.034188034
108440.5,0.005272526,0.031613454,0,0.023809524
116273.5,0.039574147,0.083381984,0.038461538,0.115384615
43127,0.28125,0.21875,0,0
113819.5,0.18359375,0.18359375,0,0
41770.5,0.059895833,0.002604167,0,0
146347.5,0.012439546,0.026153274,0,0
187174,0.017910289,0.052847458,0,0.047619048
39709.5,0.003571429,0.024107143,0,0
115087,0.006759259,0.077862103,0,0.055555556
48534.5,0.080133929,0.033020833,0,0
119493,0.064107143,0.026416667,0,0
54582,0.03219189,0.061598876,0.034482759,0
96407,0.045625637,0.063938569,0.007092199,0.056737589
88992,0.044978632,0.009348291,0.076923077,0
137505.5,0.009300595,0.019484747,0,0
7747.5,0.045075079,0.055777934,0.042372881,0.084745763
60914.5,0.02267455,0.040568037,0.012987013,0.064935065
132045.5,0.046991639,0.054445962,0.0625,0.03125
64809,0,0,0,0
68984,0.044099509,0.048539189,0.042553191,0.042553191
116530.5,0.033761161,0.084678819,0,0
107758,0.044676088,0.049546627,0.031055901,0.086956522
26857.5,0.033559303,0.129768794,0,0.166666667
106748,0.036685762,0.02674121,0,0.025641026
34661,0.005905696,0.041551899,0,0.039215686
139027.9789,0.013728164,0.029931077,0,0.010526316
57146,0.038883036,0.034865699,0.064220183,0.009174312
156735.5,0.039982407,0.036102908,0.075,0.008333333
425,0.00390625,0.00390625,0,0
59609,0.025705091,0.049795617,0.01980198,0.04950495
66404,0.023254745,0.050052357,0,0.025316456
84737.5,0.0625,0.1875,0,0
14248.5,0.018866719,0.031396846,0,0.016666667
78000.5,0.011323691,0.067065758,0,0.108108108
149066.5,0.014556176,0.059327868,0.012195122,0.073170732
28322.5,0.049027607,0.085626207,0.037037037,0.055555556
97590,0.020498914,0.055718322,0,0.076923077
189058.5,0.016297666,0.038074821,0,0.09375
121118,0,0,0,0
137781.5,0.028620661,0.03494639,0,0.041666667
2874,0.027955328,0.020460116,0,0.058823529
62272,0.033601283,0.056926031,0.090909091,0.181818182
149122,0.010292433,0.329223485,0,0.44
23839.5,0.041347451,0.234298758,0.042857143,0.085714286
55234,0.071081624,0.061786079,0.006993007,0.034965035
119676,0.068579624,0.062488563,0.086956522,0.043478261
33349.5,0,0.017857143,0,0
102898.5,0.015611699,0.030912497,0.011363636,0.011363636
177258.5,0.023736367,0.042693265,0.018987342,0.056962025
177048.5,0.017921685,0.052094557,0,0.044776119
17090,0.009335919,0.043576389,0,0
81698.5,0.011891008,0.030764467,0,0
154528,0.015682148,0.036081819,0,0.021276596
15248,0.021505585,0.043431931,0.014084507,0.070422535
44562,0.042609087,0.071068894,0.016,0.048
24510.5,0,0.0625,0,0
91082,0,0,0,0
57898,0.03859952,0.05399035,0,0.060240964
161903.5,0.023958168,0.051764908,0,0.047619048
144966,0,0,0,0
48497.5,0.061324212,0.099136693,0,0.128571429
94987,0.084228145,0.148506886,0.050847458,0.203389831
62205,0.030100629,0.053311495,0,0.008130081
17242,0,0.354166667,0,1
119294.5,0.009574916,0.124009815,0,0.5
155597.5,0.013619675,0.048092118,0.010416667,0.03125
121998.5,0.03125,0.039356303,0,0.083333333
188224.5,0.015143363,0.040118672,0,0.028301887
155026,0.016741427,0.066951739,0.02247191,0.06741573
196410.5,0.018162086,0.061336717,0,0.055555556
31148.5,0.032293721,0.054171227,0.027777778,0.027777778
100760,0.046374048,0.085136954,0.111111111,0.222222222
174927,0.045533945,0.054361099,0.022222222,0.066666667
55054.5,0.008906656,0.06782256,0,0.125
163799,0.020520318,0.046206393,0,0.036697248
12778,0.041447644,0.042153067,0.072463768,0.057971014
18703,0.046822855,0.089781798,0.045977011,0.114942529
111519,0.056948086,0.033053181,0.073170732,0.024390244
150128,0.034170015,0.053835835,0.016260163,0.048780488
13504,0.006324405,0.021949405,0,0
76831,0.031236533,0.011224682,0,0
25954.5,0.042410714,0.004464286,0,0
93124,0.004994658,0.034977869,0,0.076923077
98319.5,0.103472222,0.004166667,0,0
155646,0.010416667,0.020833333,0,0
138387.5,0.029560052,0.039946489,0,0.026315789
179449,0.046508502,0.029446326,0,0
123982,0.010907611,0.026371083,0,0
106517,0.0625,0.229166667,0,0
173532,0.0347548,0.053247993,0.043902439,0.03902439
19458,0.058276412,0.109836806,0.023255814,0.186046512
121854.5,0.01812066,0.075164311,0,0.0625
188828.5,0.018675961,0.039427961,0,0.045454545
54601,0.06724537,0.060934744,0,0
134086.5,0.025444837,0.015714127,0.029411765,0
197165.5,0.028301458,0.08748913,0.03030303,0.106060606
31584,0.010416667,0.052430556,0,0.333333333
61006,0.008487654,0.040895062,0,0
24479,0.0421875,0.019444444,0.333333333,0
91071.5,0.027925032,0.045738636,0,0.1
165148,0.020503032,0.059430434,0,0.127659574
56449,0.007834022,0.026782025,0,0
165111.5,0.008514714,0.016883741,0,0
86320,0.02720981,0.067513371,0.005988024,0.041916168
141545,0,0,0,0
3886,0.033775507,0.042149808,0.020725389,0.051813472
63577.5,0.02178958,0.074859525,0.005376344,0.155913978
52340,0,0,0,0
158997.5,0.010416667,0.002604167,0,0
155475,0.014046135,0.047889538,0.032258065,0.032258065
74783,0.034830741,0.042695341,0,0.03030303
53788.5,0.02145828,0.075974823,0,0.108108108
100819.7692,0.025607645,0.035346804,0.021978022,0.065934066
4869.5,0.046969211,0.053763919,0.018518519,0.092592593
64941.5,0.032436066,0.056088403,0.015384615,0.053846154
175957.5,0.004613095,0.010625,0,0
69675,0.029853719,0.035128579,0,0.058823529
99033.5,0.039677354,0.046077629,0.1,0.2
134020,0.010747358,0.034046056,0,0.051282051
106768.5,0.0625,0.078125,0,0
178669.5,0.015625,0.002604167,0,0
178671.5,0.015625,0.002604167,0,0
48702,0.024206349,0.005555556,0,0
119769.5,0.004545455,0.041098485,0,0
121466.5,0.010480543,0.041566686,0.055555556,0
88225,0,0,0,0
37411,0.025866173,0.035618236,0,0.00952381
106675.5,0.015965066,0.058942922,0,0.113207547
136821.5,0.015625,0.0234375,0,0
13823.5,0.025794423,0.070629009,0.010638298,0.042553191
77299.5,0.090418503,0.059254293,0.181318681,0.065934066
12462,0.09753169,0.033148018,0.2,0
