,Company,-1,0,1,Series_Type
115,blueapron,0.0,0.0,1.0,Series_B
116,blueapron,0.0,0.0,1.0,Series_C
117,bluebox,0.0,0.0,1.0,Series_B
118,bluecava,0.0,1.0,0.0,Series_A
119,bluepillar,0.0,0.0,1.0,Series_B
120,bodyshopbids,0.0,0.0,1.0,Series_A
121,boku,0.0,0.0,1.0,Series_C
122,bookshout,0.0,0.0,1.0,Series_A
123,bookshout,0.0,0.0,1.0,Series_B
124,boomi,0.0,0.0,1.0,Series_B
125,booyah,0.0,0.0,1.0,Series_A
126,booyah,0.0,0.0,1.0,Series_C
127,boxee,0.0,1.0,0.0,Series_C
128,boxfish,1.0,0.0,0.0,Series_A
129,boxtone,0.0,1.0,0.0,Series_B
130,bplglobal,0.0,1.0,0.0,Series_C
131,bplglobal,0.0,1.0,0.0,Series_D
132,brammo,0.0,1.0,0.0,Series_D
133,brandaffinitytechnologies,0.0,1.0,0.0,Series_D
134,breather,0.0,0.0,1.0,Series_A
135,bridgevine,1.0,0.0,0.0,Series_C
136,bright,0.0,0.0,1.0,Series_A
137,brightedge,0.0,0.0,1.0,Series_B
138,brightedge,0.0,0.0,1.0,Series_D
139,brightpearl,0.0,0.0,1.0,Series_B
140,brightroll,0.0,1.0,0.0,Series_A
141,brightroll,0.0,1.0,0.0,Series_B
142,bumptechnologies,0.0,0.0,1.0,Series_B
143,businessinsider,0.0,1.0,0.0,Series_C
144,buywithme,0.0,0.0,1.0,Series_B
145,buzzfeed,0.0,0.0,1.0,Series_C
146,byallaccounts,0.0,1.0,0.0,Series_B
147,c2fo,0.0,0.0,1.0,Series_A
148,cashstar,0.0,0.0,1.0,Series_C
149,catavolt,0.0,0.0,1.0,Series_A
150,causata,1.0,0.0,0.0,Series_A
151,causes,1.0,0.0,0.0,Series_B
152,centrify,0.0,1.0,0.0,Series_A
153,cernostics,0.0,0.0,1.0,Series_B
154,cfares,0.0,0.0,1.0,Series_B
155,chango,0.0,1.0,0.0,Series_B
156,chargebee,0.0,0.0,1.0,Series_B
157,checkpointsurgical,0.0,0.0,1.0,Series_A
158,chunyu,0.0,0.0,1.0,Series_A
159,chunyu,0.0,0.0,1.0,Series_C
160,ciannamedical,0.0,0.0,1.0,Series_A
161,cirba,0.0,0.0,1.0,Series_C
162,circle,0.0,0.0,1.0,Series_A
163,circulite,0.0,1.0,0.0,Series_C
164,circulite,0.0,1.0,0.0,Series_D
165,classpass,0.0,0.0,1.0,Series_A
166,clearslide,0.0,0.0,1.0,Series_A
167,clever,0.0,0.0,1.0,Series_A
168,clinicient,0.0,0.0,1.0,Series_C
169,cloudbees,0.0,0.0,1.0,Series_A
170,cloudcrowd,0.0,1.0,0.0,Series_B
171,cloudflare,0.0,0.0,1.0,Series_C
172,cloudian,0.0,0.0,1.0,Series_B
173,cloudmade,0.0,0.0,1.0,Series_A
174,cloudon,0.0,0.0,1.0,Series_A
175,cloudphysics,0.0,0.0,1.0,Series_B
176,cloudphysics,0.0,0.0,1.0,Series_C
177,cloudshare,0.0,0.0,1.0,Series_B
178,cloudsherpas,0.0,0.0,1.0,Series_A
179,cloudsherpas,0.0,0.0,1.0,Series_C
180,clustrix,0.0,0.0,1.0,Series_B
181,coderyte,0.0,0.0,1.0,Series_C
182,cognitivematch,0.0,0.0,1.0,Series_A
183,cognitivematch,0.0,0.0,1.0,Series_B
184,colorescience,0.0,0.0,1.0,Series_A
185,cometsolutions,0.0,1.0,0.0,Series_A
186,cometsolutions,0.0,1.0,0.0,Series_C
187,cometsolutions,0.0,1.0,0.0,Series_D
188,conductor,0.0,0.0,1.0,Series_A
189,conductor,0.0,0.0,1.0,Series_C
190,confidela,0.0,0.0,1.0,Series_A
191,connectedu,0.0,0.0,1.0,Series_D
192,connotate,0.0,0.0,1.0,Series_A
193,connotate,0.0,0.0,1.0,Series_B
194,contextream,0.0,0.0,1.0,Series_A
195,contextweb,0.0,1.0,0.0,Series_A
196,contextweb,0.0,1.0,0.0,Series_C
197,convercent,0.0,0.0,1.0,Series_A
198,conviva,0.0,1.0,0.0,Series_A
199,conviva,0.0,1.0,0.0,Series_D
200,coolerado,0.0,0.0,1.0,Series_B
201,coolitsystems,0.0,0.0,1.0,Series_B
202,coraid,0.0,0.0,1.0,Series_C
203,corventis,0.0,0.0,1.0,Series_C
204,coub,0.0,1.0,0.0,Series_B
205,creditbenchmark,0.0,0.0,1.0,Series_B
206,creditkarma,0.0,0.0,1.0,Series_A
207,creditsesame,0.0,0.0,1.0,Series_A
208,crimsonhexagon,0.0,0.0,1.0,Series_B
209,criteo,0.0,0.0,1.0,Series_D
210,crittercism,0.0,0.0,1.0,Series_A
211,crowdtap,0.0,0.0,1.0,Series_A
212,crowdtwist,0.0,0.0,1.0,Series_A
213,crownbioscience,0.0,0.0,1.0,Series_D
214,cumulusnetworks,0.0,0.0,1.0,Series_B
215,currencycloud,1.0,0.0,0.0,Series_B
216,custommade,0.0,0.0,1.0,Series_B
217,cvidya,0.0,1.0,0.0,Series_D
218,cyberheart,0.0,1.0,0.0,Series_B
219,cyphort,0.0,1.0,0.0,Series_B
220,dachisgroup,0.0,0.0,1.0,Series_B
221,dailymotion,0.0,0.0,1.0,Series_A
222,dancejam,0.0,0.0,1.0,Series_B
223,daojia,0.0,0.0,1.0,Series_C
224,datagravity,0.0,0.0,1.0,Series_B
225,datallegro,0.0,0.0,1.0,Series_C
226,datallegro,0.0,0.0,1.0,Series_D
227,datalogix,0.0,0.0,1.0,Series_B
228,datalogix,0.0,0.0,1.0,Series_C
229,datameer,0.0,0.0,1.0,Series_A
230,datameer,0.0,0.0,1.0,Series_C
231,datapop,0.0,0.0,1.0,Series_B
232,datasift,0.0,0.0,1.0,Series_A
233,datorama,0.0,0.0,1.0,Series_A
234,dayima,1.0,0.0,0.0,Series_A
235,dayima,1.0,0.0,0.0,Series_C
236,decisyon,0.0,0.0,1.0,Series_B
237,deliveroo,0.0,0.0,1.0,Series_B
238,delphix,0.0,1.0,0.0,Series_B
239,desktone,0.0,0.0,1.0,Series_A
240,dhgate,0.0,0.0,1.0,Series_C
241,digg,0.0,0.0,1.0,Series_A
242,digitalbridgecommunications,0.0,0.0,1.0,Series_A
243,dimdim,0.0,0.0,1.0,Series_B
244,disqus,0.0,0.0,1.0,Series_C
245,divide,0.0,0.0,1.0,Series_A
246,dizzywood,0.0,0.0,1.0,Series_A
247,dizzywood,0.0,0.0,1.0,Series_B
248,dnanexus,0.0,0.0,1.0,Series_A
249,docplanner,0.0,1.0,0.0,Series_A
250,docutap,0.0,0.0,1.0,Series_A
251,docutap,0.0,0.0,1.0,Series_B
252,dotblu,0.0,1.0,0.0,Series_B
253,dotcloud,0.0,0.0,1.0,Series_B
254,doximity,0.0,0.0,1.0,Series_A
255,dreamlines,0.0,0.0,1.0,Series_B
256,drivecam,0.0,0.0,1.0,Series_B
257,drivecam,0.0,0.0,1.0,Series_D
258,driverside,0.0,0.0,1.0,Series_B
259,duolingo,0.0,0.0,1.0,Series_B
260,duolingo,0.0,0.0,1.0,Series_C
261,duosecurity,0.0,0.0,1.0,Series_A
262,dwolla,0.0,0.0,1.0,Series_A
263,dwolla,0.0,0.0,1.0,Series_C
264,dxterity,0.0,0.0,1.0,Series_A
265,dynamicsignal,0.0,0.0,1.0,Series_C
266,earlysense,0.0,0.0,1.0,Series_C
267,easytaxi,0.0,0.0,1.0,Series_C
268,eatclub,0.0,0.0,1.0,Series_A
269,eatclub,0.0,0.0,1.0,Series_B
270,echonest,0.0,0.0,1.0,Series_C
271,edeniq,0.0,0.0,1.0,Series_A
272,edgeware,0.0,0.0,1.0,Series_B
273,edmodo,0.0,0.0,1.0,Series_D
274,eightfoldlogic,0.0,1.0,0.0,Series_B
275,eightfoldlogic,0.0,1.0,0.0,Series_C
276,elacarte,0.0,0.0,1.0,Series_B
277,elastra,0.0,0.0,1.0,Series_A
278,elastra,0.0,0.0,1.0,Series_B
279,elementaltechnologies,0.0,0.0,1.0,Series_B
280,elonics,0.0,0.0,1.0,Series_B
281,embotics,0.0,1.0,0.0,Series_B
282,emeraldtherapeutics,1.0,0.0,0.0,Series_A
283,emeraldtherapeutics,1.0,0.0,0.0,Series_B
284,emeraldtherapeutics,1.0,0.0,0.0,Series_C
285,emeter,0.0,0.0,1.0,Series_D
286,enclarity,0.0,0.0,1.0,Series_C
287,enecsys,0.0,1.0,0.0,Series_A
288,enecsys,0.0,1.0,0.0,Series_B
289,energyhub,0.0,0.0,1.0,Series_B
290,enevo,0.0,0.0,1.0,Series_B
291,enforta,0.0,0.0,1.0,Series_C
292,engineyard,0.0,0.0,1.0,Series_B
293,engrade,0.0,0.0,1.0,Series_B
294,enterprisedb,0.0,1.0,0.0,Series_B
295,enterprisedb,0.0,1.0,0.0,Series_C
296,envista,0.0,1.0,0.0,Series_A
297,eosenergystorage,0.0,0.0,1.0,Series_B
298,epacube,0.0,1.0,0.0,Series_A
299,epicsciences,0.0,0.0,1.0,Series_C
300,equitylock,0.0,0.0,1.0,Series_A
301,esentire,0.0,0.0,1.0,Series_C
302,esosolutions,0.0,0.0,1.0,Series_B
303,estech,0.0,0.0,1.0,Series_B
304,etsy,0.0,0.0,1.0,Series_A
305,euclid,0.0,0.0,1.0,Series_B
306,everythingme,0.0,0.0,1.0,Series_A
307,experienceproject,0.0,0.0,1.0,Series_D
308,explorys,0.0,0.0,1.0,Series_B
309,eyeem,0.0,0.0,1.0,Series_B
310,eyefi,0.0,0.0,1.0,Series_D
311,ezcater,0.0,0.0,1.0,Series_C
312,familylink,0.0,0.0,1.0,Series_B
313,fanduel,0.0,0.0,1.0,Series_D
314,fanzter,0.0,0.0,1.0,Series_A
315,fanzter,0.0,0.0,1.0,Series_B
316,feex,0.0,1.0,0.0,Series_A
317,fiksu,0.0,0.0,1.0,Series_B
318,finestrella,1.0,0.0,0.0,Series_B
319,firehost,0.0,0.0,1.0,Series_A
320,firehost,0.0,0.0,1.0,Series_D
321,firm58,0.0,0.0,1.0,Series_C
322,firstinsight,0.0,0.0,1.0,Series_C
323,fitbit,0.0,0.0,1.0,Series_A
324,fitbit,0.0,0.0,1.0,Series_B
325,fitbit,0.0,0.0,1.0,Series_C
326,fivestars,0.0,0.0,1.0,Series_B
327,fix8,0.0,0.0,1.0,Series_A
328,fixmo,0.0,0.0,1.0,Series_C
329,flatworldknowledge,0.0,0.0,1.0,Series_B
330,fleetmatics,0.0,0.0,1.0,Series_B
331,flightcar,0.0,0.0,1.0,Series_B
332,flite,0.0,0.0,1.0,Series_D
333,flixster,0.0,0.0,1.0,Series_A
334,flurry,0.0,0.0,1.0,Series_A
335,flurry,0.0,0.0,1.0,Series_D
336,flypaper,0.0,0.0,1.0,Series_B
337,foodpanda,0.0,0.0,1.0,Series_C
338,forushealth,0.0,0.0,1.0,Series_A
339,friendster,0.0,0.0,1.0,Series_C
340,fuhu,0.0,0.0,1.0,Series_B
341,fuhu,0.0,0.0,1.0,Series_D
342,funplus,0.0,0.0,1.0,Series_B
343,gaikai,0.0,0.0,1.0,Series_A
344,gainspeed,0.0,0.0,1.0,Series_B
345,games2win,0.0,0.0,1.0,Series_A
346,gameskinny,0.0,0.0,1.0,Series_B
347,gather,0.0,0.0,1.0,Series_B
348,gemvara,0.0,0.0,1.0,Series_C
349,genapsys,0.0,1.0,0.0,Series_B
350,generalassembly,0.0,0.0,1.0,Series_A
351,genesismedia,1.0,0.0,0.0,Series_B
352,geni,0.0,0.0,1.0,Series_A
353,geni,0.0,0.0,1.0,Series_C
354,genologics,0.0,0.0,1.0,Series_C
355,geovax,0.0,0.0,1.0,Series_B
356,getglue,0.0,0.0,1.0,Series_C
357,getsatisfaction,0.0,0.0,1.0,Series_A
358,getsatisfaction,0.0,0.0,1.0,Series_B
359,gigwalk,0.0,0.0,1.0,Series_A
360,gild,0.0,0.0,1.0,Series_A
361,gild,0.0,0.0,1.0,Series_B
362,glassdoor,0.0,0.0,1.0,Series_A
363,glassdoor,0.0,0.0,1.0,Series_B
364,glassdoor,0.0,0.0,1.0,Series_C
365,glassesdirect,0.0,0.0,1.0,Series_B
366,gliknik,0.0,1.0,0.0,Series_A
367,glyde,0.0,0.0,1.0,Series_B
368,glympse,0.0,0.0,1.0,Series_B
369,gogobot,0.0,0.0,1.0,Series_B
370,goodeggs,0.0,0.0,1.0,Series_A
371,goodeggs,0.0,0.0,1.0,Series_B
372,goodguide,0.0,0.0,1.0,Series_A
373,greenlightplanet,0.0,0.0,1.0,Series_B
374,greenmountaindigital,0.0,0.0,1.0,Series_B
375,greenphire,0.0,0.0,1.0,Series_B
376,greensql,0.0,0.0,1.0,Series_A
377,greensql,0.0,0.0,1.0,Series_B
378,greenwizard,0.0,0.0,1.0,Series_A
379,gridstore,0.0,0.0,1.0,Series_A
380,grockit,0.0,0.0,1.0,Series_A
381,grockit,0.0,0.0,1.0,Series_B
382,groundworkopensource,0.0,0.0,1.0,Series_C
383,groupcommerce,0.0,0.0,1.0,Series_C
384,grubhub,0.0,0.0,1.0,Series_C
385,guardiananalytics,0.0,0.0,1.0,Series_D
386,guidespark,0.0,0.0,1.0,Series_A
387,gutcheck,0.0,0.0,1.0,Series_A
388,healthguru,0.0,0.0,1.0,Series_D
389,healthination,0.0,0.0,1.0,Series_A
390,healthination,0.0,0.0,1.0,Series_B
391,healthrageous,0.0,0.0,1.0,Series_B
392,hearsaysocial,0.0,0.0,1.0,Series_C
393,hemoshear,0.0,0.0,1.0,Series_C
394,highstreetpartners,0.0,1.0,0.0,Series_C
395,highstreetpartners,0.0,1.0,0.0,Series_D
396,hightower,0.0,0.0,1.0,Series_A
397,hiplogiq,0.0,0.0,1.0,Series_A
398,hipmunk,0.0,0.0,1.0,Series_B
399,hipmunk,0.0,0.0,1.0,Series_C
400,histogenics,0.0,0.0,1.0,Series_C
401,histosonics,0.0,1.0,0.0,Series_A
402,homejoy,0.0,0.0,1.0,Series_B
403,honeybook,0.0,0.0,1.0,Series_B
404,hopper,0.0,0.0,1.0,Series_A
405,hotelicopter,0.0,0.0,1.0,Series_A
406,houseparty,0.0,0.0,1.0,Series_A
407,hubpages,0.0,0.0,1.0,Series_A
408,huddler,0.0,0.0,1.0,Series_B
409,hupu,0.0,0.0,1.0,Series_C
410,iamcompany,0.0,0.0,1.0,Series_A
411,iamcompany,0.0,0.0,1.0,Series_B
412,ibotta,0.0,0.0,1.0,Series_B
413,icebreaker,0.0,0.0,1.0,Series_B
414,icetana,0.0,0.0,1.0,Series_A
415,icopyright,0.0,0.0,1.0,Series_D
416,icreatesoftware,0.0,0.0,1.0,Series_B
417,ideapaint,0.0,0.0,1.0,Series_C
418,identified,0.0,0.0,1.0,Series_B
419,ifbyphone,0.0,0.0,1.0,Series_B
420,ifttt,0.0,0.0,1.0,Series_B
421,ilike,0.0,0.0,1.0,Series_B
422,imperva,0.0,0.0,1.0,Series_C
423,infinitepowersolutions,0.0,0.0,1.0,Series_D
424,infoscout,0.0,0.0,1.0,Series_A
425,infoscout,0.0,0.0,1.0,Series_B
426,inmagic,0.0,0.0,1.0,Series_A
427,inneractive,0.0,0.0,1.0,Series_C
428,innography,0.0,0.0,1.0,Series_A
429,innovid,0.0,0.0,1.0,Series_C
430,insightec,0.0,0.0,1.0,Series_C
431,insightec,0.0,0.0,1.0,Series_D
432,insightsquared,0.0,0.0,1.0,Series_C
433,inspirato,0.0,0.0,1.0,Series_A
434,instantly,0.0,0.0,1.0,Series_C
435,instartlogic,0.0,0.0,1.0,Series_B
436,instructure,0.0,0.0,1.0,Series_D
437,intalio,0.0,0.0,1.0,Series_D
438,intelliworks,0.0,1.0,0.0,Series_C
439,intercom,0.0,0.0,1.0,Series_B
440,intermolecular,1.0,0.0,0.0,Series_C
441,intermolecular,1.0,0.0,0.0,Series_D
442,intradigm,0.0,0.0,1.0,Series_B
443,invision,0.0,0.0,1.0,Series_B
444,ionicsecurity,0.0,0.0,1.0,Series_A
445,ipierian,0.0,1.0,0.0,Series_B
446,irise,0.0,0.0,1.0,Series_C
447,iskoot,0.0,0.0,1.0,Series_B
448,iskoot,0.0,0.0,1.0,Series_C
449,iwalk,0.0,0.0,1.0,Series_B
450,iwalk,0.0,0.0,1.0,Series_D
451,izettle,0.0,0.0,1.0,Series_C
452,jaunt,0.0,0.0,1.0,Series_A
453,jaunt,0.0,0.0,1.0,Series_B
454,jaxtr,0.0,0.0,1.0,Series_A
455,jelastic,0.0,0.0,1.0,Series_B
456,jibjab,0.0,0.0,1.0,Series_A
457,jibjab,0.0,0.0,1.0,Series_B
458,jiff,0.0,0.0,1.0,Series_B
459,jivesoftware,0.0,0.0,1.0,Series_B
460,jivox,0.0,0.0,1.0,Series_A
461,jiwire,0.0,0.0,1.0,Series_B
462,jobaline,0.0,0.0,1.0,Series_B
463,jobfox,0.0,0.0,1.0,Series_C
464,justworks,0.0,0.0,1.0,Series_A
465,kaazing,0.0,0.0,1.0,Series_B
466,kaiam,0.0,1.0,0.0,Series_B
467,kareo,0.0,0.0,1.0,Series_D
468,karmasphere,0.0,1.0,0.0,Series_A
469,keaholesolarpower,0.0,0.0,1.0,Series_C
