,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
0,1stdibs,_Series_C,230,134,15000000,Semiconductors,213,13,7,1.863849765,1.521126761,0.957746479,1.098591549,130.5164319,0.9342723,1.093896714,0.840375587,0.436619718,0.145539906,5.780192121,7.009816207,1.087275716,1.882052244,38.45146368,1.079569735,1.876018045,0.458529077,0.515762699,0.353475086,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.038289746,0.068850256,0.010989011,0.082417582,5.622138027047833,14.802947349596314,11.993231854330746,2.875400673274656,2.135957105636007,0.28239418027648633,0.44651498400572515,0.5319143325900053,0.4608302389462336,52.58457329416503,0.5133040811949162,0.45341636918851635,0.7907645655157073,0.13925591362084688,0.07855717708098811,0.6241684564683349,0.9795703573377851,0.5904153089075247,1.1830628514716341,1.5555375527747162,0.58338561633103,1.2125614575611308,1.5129392527647274,0.44329957923915825,0.2590731704090464,0.0,0.0,0.0,0.0,0.0,0.0,0.00916558243204115,0.0,0.0,0.0,0.0,0.0,0.16645667630366598,0.0,0.04424421226938035,0.08945483052104702,0.01145103071956448,0.11285585296362216,16.523560759066484
2,365Scores,_Series_B,15,23,5500000,Apps,163,1,1,0.09202454,0.141104294,0.582822086,1.515337423,181.8957055,0.552147239,1.490797546,0.914110429,0.18404908,0.049079755,0.348006952,0.656188965,0.822642167,1.113086179,43.44566828,0.771029248,1.09074727,0.302229841,0.388718436,0.21670031,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.019701217,0.046835995,0.006329114,0.006329114,2.8187371819384257,6.291091281908284,10.910414517905783,0.708775654383368,0.6993521824576773,0.0759310939355969,0.11729730646888395,0.3906419346284136,0.5173674262221163,67.9660198137297,0.37098999512392733,0.5059516661199482,0.8564850387799526,0.102542810084549,0.03895186473700605,0.2402485216705586,0.4107746717726589,0.5009263774895587,0.8090197832149567,1.5702021887172826,0.4779262220799049,0.8115164450719092,0.6678594288708758,0.34529622022836687,0.17716318419595592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328337694068655,0.0,0.0,0.02121465149708897,0.05591491063621986,0.006480833499139838,0.006480833499139838,15.520258650202699
3,36Kr,_Series_C,58,21,20000,Startups,173,83,43,1.312138728,0.393063584,0.36416185,0.520231214,149.6647399,0.289017341,0.427745665,0.630057803,0.023121387,0.0,12.93614562,2.761099878,0.792617842,1.009199518,85.56979182,0.680069819,0.896851148,0.518964193,0.150725271,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.036363951,0.058589433,0.051546392,0.077319588,4.177869751475088,5.995654235344836,11.144620849351542,5.12404537137306,3.974138646752197,0.27397455729037223,0.2487059832892495,0.2780904232356462,0.31673311684009176,58.46048218493542,0.22988473841119877,0.27811911607588474,0.6005698615077192,0.021241247004078166,0.0,0.6483691570643889,0.7971310453502755,0.4894340933820777,0.7504917534912121,1.6363664945032814,0.4408490314391403,0.6954759791850659,1.992113331561564,0.14342522010378936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16645667630366598,0.0,0.041711786437823334,0.07317235028303701,0.06265869736922135,0.10380330627290396,9.903487552536127
4,6fusion,_Series_B,2,28,7000000,Hardware + Software,177,251,131,0.011299435,0.15819209,0.593220339,0.468926554,108.6214689,0.564971751,0.463276836,0.576271186,0.384180791,0.050847458,0.105996385,0.462027532,0.894147208,0.78363625,32.63413216,0.896656748,0.776103684,0.539467009,0.487780841,0.22030935,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.021415361,0.037836936,0.0,0.0,1.1058098677207433,6.969321808117939,11.235547366272261,6.636096498782646,5.2020949310288715,0.01102126790023212,0.12882125621933674,0.395325875219375,0.2971913876923686,45.607656048396606,0.3767710658188387,0.29252644999015853,0.5512269575218159,0.1352631437527896,0.04003939196353818,0.09344056849857751,0.3249104239806002,0.5270991527116712,0.6146360248154832,1.534311249865452,0.5242693956744258,0.6186724321361919,2.1787509889094783,0.4222201098521397,0.17956719985762679,0.0,0.0,0.0,0.0,0.0,0.008019884753474794,0.0,0.0,0.0,0.0,0.0,0.4328337694068655,0.0,0.0,0.02321031410981646,0.04364560357752891,0.0,0.0,15.761420707019587
5,6sense,_Series_A,42,43,12000000,Invest Online,215,47,24,0.195348837,0.241860465,0.646511628,0.497674419,104.4976744,0.595348837,0.451162791,0.181395349,0.102325581,0.0,0.55448616,1.066532629,0.782802549,1.167609662,74.45721813,0.748192054,1.06612498,0.386244689,0.303783288,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.032786901,0.070523441,0.016216216,0.113513514,3.8464609781149433,8.652354475830238,12.032499417033987,4.393805759428399,3.3556382215335656,0.13327592738954516,0.17891196346131122,0.41852794006190513,0.3083394172268424,44.257807206862616,0.3901311063053698,0.28771145131464076,0.17858507227180073,0.07217628752400683,0.0,0.32182123417838815,0.5425992518051733,0.48560915659155035,0.8388285172674949,1.6246787238069378,0.4689162441152944,0.7972372682153799,1.0604018816193022,0.27623695053399927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20716560839010809,0.0,0.0,0.0,0.03710030648094582,0.09222276504730867,0.01723381802880358,0.17547245430092878,16.300417207752275
6,AHAlife,_Series_B,20,46,10100000,Shopping,155,19,9,0.858064516,0.864516129,1.477419355,0.206451613,115.2064516,1.432258065,0.180645161,0.896774194,0.083870968,0.090322581,6.114108349,4.032461495,1.456447751,0.505768981,29.27072399,1.432549969,0.476335685,0.397625967,0.278092732,0.287572508,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.022184474,0.07953645,0.01459854,0.160583942,3.1002275226592078,8.944605564686134,10.715403411956075,3.3026783722461217,2.372014469262218,0.2558249721341451,0.37212177728587903,0.6649602848186728,0.16500647855719267,47.73832606079773,0.6372123760335736,0.14757596306798987,0.8410753515342942,0.06270271084508315,0.0601707075051502,0.6267265967258219,0.8814277662822848,0.6883954758629777,0.42709427759377144,1.5192138340046206,0.6763044598058822,0.4095911634322281,1.1239263579563292,0.2547327141030402,0.22183922547514603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328337694068655,0.0,0.0,0.024113908758716954,0.10770059318927062,0.015420345017884363,0.29879284191511735,16.12804598181149
7,AbilTo,_Series_A,18,54,3000000,VoIP,194,415,168,0.149484536,0.463917526,0.891752577,0.520618557,100.2216495,0.829896907,0.494845361,0.412371134,0.139175258,0.087628866,0.929273348,2.218910042,1.490430275,1.044148575,49.9034025,1.445712973,1.044340398,0.51410322,0.347024868,0.283485973,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.040220984,0.062626962,0.023391813,0.064327485,2.996521083623716,9.672139796160575,11.606091952383528,7.362166640990229,5.483087661357535,0.11063252551628396,0.2746021355515025,0.5105723651568718,0.3168746422705707,42.844751690506314,0.4797490637896038,0.30462652852985617,0.3989088608410882,0.08789419900764832,0.059018518053951884,0.416308037897991,0.7428032681198095,0.6962162409202608,0.7704440972960023,1.5857417589460263,0.6793383865269613,0.7844977096590812,1.9497453454155653,0.31177512457661527,0.21940090507580992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20716560839010809,0.0,0.0,0.0,0.04681928755856365,0.0794396232989605,0.025542639586475638,0.08213302689903342,14.914122846632385
8,AbilTo,_Series_B,17,52,6000000,VoIP,178,408,159,0.095505618,0.348314607,0.679775281,0.275280899,88.98876404,0.668539326,0.264044944,0.320224719,0.106741573,0.016853933,0.407392178,1.160567985,1.218379008,0.635624325,52.11861621,1.215353335,0.631516369,0.46787892,0.30965545,0.129087151,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.016549351,0.026752983,0.0,0.048780488,2.9405479076616667,9.496656317492333,11.258044979318429,7.337202003689621,5.420701989705867,0.07826791242593881,0.23033776871197476,0.4323647860372714,0.20602763651419032,39.06240902566022,0.42052041268183254,0.19865196658985068,0.31186680063354477,0.07427151890071074,0.015521761353432573,0.2668054149164679,0.5662520348958705,0.6282321404262157,0.5178818479860188,1.5903821230682142,0.6220085264917579,0.5214082436921799,1.580593639028304,0.2811107149911531,0.11394926245882508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328337694068655,0.0,0.0,0.017609961441653985,0.029587087688851876,0.0,0.05867140962242308,15.60727002719233
9,Abiquo,_Series_A,11,6,2050000,-,167,225,85,0.065868263,0.035928144,1.017964072,0.461077844,94.47305389,1.017964072,0.449101796,0.413173653,0.299401198,0.125748503,0.293251908,0.394116605,1.253780086,1.010478254,35.94872761,1.253780086,0.991886863,0.505934766,0.459373199,0.332562898,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.020209279,0.071926534,0.0,0.131578947,2.521932865816859,2.9125497396394455,11.005318492117771,6.481424059425174,4.719072120034173,0.05726365013792195,0.03418457839570174,0.5503336105860438,0.29405598242293274,40.92235180327985,0.5379478810105973,0.2868824365419624,0.3996622751954966,0.12581517664116754,0.0729768856811968,0.21301604882396755,0.28970051406741343,0.6378281510039325,0.7512266166472228,1.547046406234477,0.6322395260153969,0.7534028937482478,1.8801242253318384,0.40053544519060424,0.2476680928216697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20716560839010809,0.0,0.0,0.0,0.021803544238648175,0.09456894093368537,0.0,0.2183478214305729,14.53335035111459
10,Achievers,_Series_A,4,0,4700000,Technology,153,422,168,0.026143791,0.0,0.241830065,0.013071895,100.6862745,0.235294118,0.0,0.352941176,0.0,0.0,0.160086836,0.0,0.459206177,0.113955676,35.48822462,0.455445211,0.0,0.479454024,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.062574405,0.033688447,0.125,0.0,1.624916328166228,0.0,10.66551073652749,7.386741178896272,5.483087661357535,0.024693264990990782,0.0,0.20045071848347432,0.012869590684718463,42.99897214342788,0.1945032310585607,0.0,0.3428942754904021,0.0,0.0,0.13298861368745565,0.0,0.33675189638760417,0.1091284887771007,1.5453856580710803,0.333284602709113,0.0,1.6675123367201639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20716560839010809,0.0,0.0,0.0,0.07935689169005544,0.03825135764176137,0.20213421945177998,0.0,15.363073066680286
