,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
15,AdScale,_Series_B,8,6,6150000,Advertising,183,330,180,0.043715847,0.032786885,0.37704918,0.93442623,106.442623,0.360655738,0.93442623,0.573770492,0.153005464,0.071038251,0.230268277,0.178566925,0.633252578,1.524908779,30.90922082,0.629829566,1.524908779,0.538384327,0.360980403,0.257593499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.032199158,0.059751738,0.049079755,0.079754601,2.2216587896004794,2.898452689423742,10.804155867815336,6.858375333016694,5.442851124093485,0.03974388584861027,0.031316352886158146,0.2836058961330609,0.42563700588303577,42.278733654706656,0.27113411415491906,0.42000325540257,0.5426799034635775,0.0921601215175064,0.05035617501207802,0.17786413751984737,0.15334243408490725,0.4168363612606136,1.015324337101332,1.524466863041288,0.413352598154398,1.0384151078311576,2.124965816335552,0.315101726309669,0.19700006119927296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.03635393633784075,0.0749583025207304,0.05909905126852381,0.10808735074737834,15.631962639782701
16,Adaptiveblue,_Series_B,2,0,4520000,Celebrity,201,590,240,0.009950249,0.0,0.313432836,0.024875622,91.31343284,0.308457711,0.019900498,0.457711443,0.129353234,0.0,0.099501244,0.0,0.596882448,0.185413348,29.8586046,0.595296657,0.172052289,0.547222748,0.336428417,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.022425277,0.037413499,0.0,0.088235294,1.1046983441282212,0.0,11.155837411399533,7.674432359759116,5.757269919076177,0.00973184568171355,0.0,0.24594684844503328,0.024140969587152783,37.62062475509513,0.24048043729862514,0.019418548386569576,0.43721598713607784,0.08351126766080283,0.0,0.08835820721676955,0.0,0.40060406699203294,0.1729500896551897,1.5196468357898922,0.3980525696328852,0.16185054054763606,2.2067697432029014,0.29610112721732695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.024397862915600314,0.04308758857149084,0.0,0.12358312684262801,15.324022551808413
17,Adaptivity,_Series_B,24,54,3000000,Software,174,290,118,0.137931034,0.540229885,0.511494253,0.327586207,126.4712644,0.494252874,0.32183908,0.683908046,0.011494253,0.0,0.592289841,2.39848024,1.110842547,0.72258202,28.11345268,1.105671801,0.721178433,0.502105063,0.106900945,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.018014394,0.042837969,0.0,0.023529412,3.271495810788393,9.565389399154896,10.618578038514697,6.6806436293643605,4.985129616048122,0.10398990409183091,0.29735987867502317,0.3538860584058098,0.23260251420728437,48.19518121404249,0.34053687532185545,0.22828095120043126,0.6411160969671776,0.01100663971052861,0.0,0.3338741667655452,0.7605650815932157,0.5851343517810431,0.57377427700793,1.5110464056400064,0.5795515130132493,0.5803670400946812,1.813482680971804,0.10230568825750168,0.0,0.0,0.019094963660039394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.019275116316261817,0.0503662051287616,0.0,0.02570627156137091,14.914122846632385
18,Addepar,_Series_B,163,112,50000000,,206,164,92,1.106796117,0.757281553,1.587378641,0.383495146,113.2087379,1.533980583,0.349514563,0.485436893,0.126213592,0.0,5.132227437,2.879586757,1.372068377,0.798486017,39.32863565,1.37088566,0.786579354,0.520114015,0.374285965,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.032131043,0.056892601,0.032,0.072,5.232793997948242,13.455894624885138,11.249347075800157,5.912804562782717,4.717630210771564,0.2651209059593682,0.3499406371150331,0.6742655423275212,0.25921484037768494,44.306698697701094,0.643863191303199,0.24174352812951494,0.4625809044456449,0.08225646334921996,0.0,0.6179494991394608,0.804832119792728,0.6524551942825522,0.6219329844185537,1.5557577476066276,0.6469366938167235,0.6231000284880902,1.9633364228570704,0.32527639402538244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.0362676427680737,0.07059123810376736,0.03610174657434006,0.09469242039815663,17.72753356339242
19,AdzCentral,_Series_A,37,93,3200000,Hardware + Software,196,1,0,0.18877551,0.663265306,0.93877551,0.566326531,150.255102,0.913265306,0.540816327,0.908163265,0.0,0.0,0.640573886,3.071603198,0.676587615,0.883285693,56.72042299,0.66226306,0.873171259,0.323022098,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.026577684,0.047021171,0.005617978,0.061797753,3.704880945554942,12.35626945174342,11.060580331532142,0.7068073283623624,0.0,0.12980623426814908,0.32955833680102264,0.5187638496911586,0.3303718937889654,54.92004375615617,0.49936984041358445,0.3186987354744531,0.8371104959657149,0.0,0.0,0.348313274973963,0.8197827234111505,0.435400333216312,0.6738388828785478,1.5963531486656208,0.4272278044014956,0.6778924792755685,0.7444060807424249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007637985779689914,0.0,0.0,0.0,0.0,0.2106572423632038,0.0,0.0,0.0,0.029373695881896655,0.056175770750790964,0.005737334768337581,0.07813789812316053,14.978661367769956
20,AdzCentral,_Series_B,101,109,3200000,Hardware + Software,210,2,1,0.523809524,0.561904762,0.776190476,0.385714286,118.9142857,0.704761905,0.380952381,0.9,0.0,0.0,1.249652492,1.271128117,1.421773528,0.71134734,47.78122277,1.379437577,0.7037963,0.358759159,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.040123872,0.054602813,0.021164021,0.037037037,4.73412172574233,13.290260488915346,11.322945970582364,1.133191546698022,0.6973775382363225,0.22056922667178963,0.30356059089649884,0.46432268995171455,0.2602172065194309,45.99296431615004,0.42934477470660426,0.25622556313268635,0.8300726272074677,0.0,0.0,0.4668943982932857,0.5906320928331225,0.6638692552000416,0.5665018500440466,1.5783183590273768,0.6488952521457526,0.568803003933736,0.9055293559037882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007637985779689914,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.046688944978814644,0.06715689240671607,0.02291612685979524,0.04259290540648869,14.978661367769956
21,Aereo,_Series_A,11,61,20500000,,206,0,0,0.053398058,0.368932039,0.247572816,0.247572816,115.6553398,0.213592233,0.247572816,0.388349515,0.0,0.0,0.246067821,1.510873056,0.55159983,0.542684324,35.3049799,0.516091983,0.542684324,0.508138827,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.029705468,0.054646052,0.029126214,0.072815534,2.516188303567096,10.14016076166966,11.249347075800157,0.0,0.0,0.04756926133640586,0.23813684783554964,0.20340088690906483,0.18938594496154376,45.03236812427912,0.17857128285348192,0.1884369312512427,0.3732657801558487,0.0,0.0,0.18709795898047177,0.6385317267546071,0.37950283088946196,0.4524184211981871,1.5422210904499973,0.36073140784646635,0.45712197715188163,1.8626719599354171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106572423632038,0.0,0.0,0.0,0.033222323739839695,0.06722123013966562,0.03250295785570127,0.0960673999923049,16.835935444108635
22,Aereo,_Series_B,92,109,38000000,,205,0,0,0.682926829,0.907317073,0.546341463,0.317073171,115.1219512,0.497560976,0.307317073,0.47804878,0.014634146,0.0,2.275606194,3.584579599,0.854084064,0.735614469,41.53819122,0.832103349,0.726389893,0.556385479,0.120377217,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.045572873,0.048763746,0.049751244,0.064676617,4.637399265071169,13.290260488915346,11.230781355706803,0.0,0.0,0.23984576909440872,0.37670974558504794,0.3703285045594074,0.22728889012437514,44.87449819599781,0.34211007054370907,0.22093189192095344,0.45583255117431504,0.013850671414806792,0.0,0.550820304047844,0.8540029378744178,0.5037255380884766,0.5821627794102788,1.5623273631256684,0.49298131352526847,0.5838168898724228,2.2941452501290205,0.1145947154914191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.05414470325239428,0.05864751283232468,0.06006190791749482,0.08268999728473635,17.45309671769066
23,Aereo,_Series_C,123,122,34000000,,211,0,0,0.791469194,1.042654028,0.492890995,0.440758294,119.8909953,0.450236967,0.431279621,0.454976303,0.004739336,0.0,1.955242823,3.207592268,1.001758778,0.867424976,36.74885764,1.000541492,0.866722218,0.499152972,0.068842839,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.035672393,0.035103429,0.037914692,0.047393365,4.938921857645433,13.989259383235458,11.341182451426736,0.0,0.0,0.2489626441722668,0.3961900246265315,0.34483069489764284,0.2838803651716616,46.27954876137735,0.3189754503616133,0.2777725788493843,0.43470772262232865,0.004654836546902358,0.0,0.5323525338264284,0.8296053085080772,0.5526979167429319,0.6642755505020855,1.547337521253658,0.5486740543745494,0.6738786621334573,1.7897829052684842,0.06689470058487136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16523094902226254,0.0,0.04081092893804976,0.04007313107738083,0.04374825724606413,0.05670112970975275,17.341871082580436
26,Airware,_Series_B,58,58,25000000,Enterprise Software,158,72,31,0.367088608,0.424050633,0.443037975,1.17721519,122.9556962,0.32278481,1.164556962,0.765822785,0.069620253,0.050632911,1.054891128,1.355781692,0.877849652,1.754045324,53.55957989,0.846641829,1.737047644,0.467650606,0.255315182,0.219944068,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.024857968,0.030211777,0.015037594,0.015037594,4.162220173221081,9.898984716614526,10.270235885485514,4.85115940587304,3.5732336900053645,0.1902591906675616,0.25942086436428086,0.31954884944680045,0.46760841718688106,47.17497236737212,0.24911631410461849,0.4587172156192176,0.7133663511496863,0.054297960544068706,0.039386198234673306,0.4384653483211231,0.608574679965591,0.5120432250562376,1.1203150635927528,1.5905059841195488,0.4981284352521654,1.140390679930457,1.5513340761911398,0.2311259593584813,0.1742599306780803,0.0,0.0,0.0,0.017185467112236938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.027294663841889603,0.03385358186208001,0.015910407582604234,0.015910407582604234,17.034386382832476
