Company,Series_Type
cloudbees,Series_A
spireglobal,Series_A
confidela,Series_A
vectranetworks,Series_A
emeraldtherapeutics,Series_A
advancedcelldiagnostics,Series_A
quofore,Series_A
quantopian,Series_A
luminate,Series_A
mycheck,Series_A
duosecurity,Series_A
zooz,Series_A
mevio,Series_A
mydamnchannel,Series_A
gigwalk,Series_A
envionetworks,Series_A
lingotek,Series_A
robotgalaxy,Series_A
yashi,Series_A
gotuitmedia,Series_A
opentable,Series_A
peakstream,Series_A
namely,Series_A
txteagle,Series_A
smartrecruiters,Series_A
8thbridge,Series_A
digg,Series_A
bright,Series_A
banjo,Series_A
insyncsoftware,Series_A
olx,Series_A
atempo,Series_A
zocdoc,Series_A
gild,Series_A
alpinedatalabs,Series_A
odesk,Series_A
actionengine,Series_A
virtuoz,Series_A
zipitwireless,Series_A
sodahead,Series_A
knowlaritycommunications,Series_A
vhx,Series_A
liverail,Series_A
jaxtr,Series_A
zuberance,Series_A
takelessons,Series_A
blogtalkradio,Series_A
signostics,Series_A
epacube,Series_A
syndaxpharmaceuticals,Series_A
newleafsymbiotics,Series_A
altruik,Series_A
grockit,Series_A
wibidata,Series_A
abtmolecularimaging,Series_A
cometsolutions,Series_A
analogdesignautomation,Series_A
wanova,Series_A
optimal,Series_A
greenwizard,Series_A
ypxcaymanholdings,Series_A
healthination,Series_A
learnvest,Series_A
sensortran,Series_A
redfin,Series_A
gaikai,Series_A
trigence,Series_A
sample6,Series_A
sagentpharmaceuticals,Series_A
perfectserve,Series_A
scifiniti,Series_A
hotelicopter,Series_A
pixable,Series_A
selectablemedia,Series_A
908devices,Series_A
tumri,Series_A
dwolla,Series_A
pivotlink,Series_A
lockpath,Series_A
dizzywood,Series_A
vertoanalytics,Series_A
viametpharmaceuticals,Series_A
rapport,Series_A
charsoftware,Series_A
guardianedgetechnologies,Series_A
retrofit,Series_A
kitcheck,Series_A
aldeapharmaceuticals,Series_A
jivox,Series_A
boulderwindpower,Series_A
zefr,Series_A
knowledgetree,Series_A
velomedix,Series_A
peakgames,Series_A
checkpointsurgical,Series_A
zmanda,Series_A
legolasmedia,Series_A
eatclub,Series_A
weplay,Series_A
vringo,Series_A
autoquake,Series_A
achievers,Series_A
tk20,Series_A
solarjunction,Series_A
doximity,Series_A
divide,Series_A
littlebits,Series_A
classpass,Series_A
lumenapharmaceuticals,Series_A
tidemark,Series_A
sequella,Series_A
colorescience,Series_A
hangernetworkinhomemedia,Series_A
sipx,Series_A
datameer,Series_A
tophat,Series_A
circle,Series_A
mongolab,Series_A
simpleenergy,Series_A
provade,Series_A
connotate,Series_A
ebandcommunications,Series_A
mindmixer,Series_A
soonr,Series_A
alnarapharmaceuticals,Series_A
booyah,Series_A
onshape,Series_A
mahalo,Series_A
platfora,Series_A
fanzter,Series_A
vts,Series_A
catavolt,Series_A
onefinestay,Series_A
trialreach,Series_A
digitalrailroad,Series_A
dayima,Series_A
adaptivecomputing,Series_A
kidaptive,Series_A
kaboodle,Series_A
4home,Series_A
glassdoor,Series_A
magnetsystems,Series_A
bluecava,Series_A
docutap,Series_A
wooga,Series_A
etsy,Series_A
innovativesilicon,Series_A
touchtype,Series_A
beckon,Series_A
applieddnasciences,Series_A
g2microsystems,Series_A
gutcheck,Series_A
sundaysky,Series_A
crittercism,Series_A
parature,Series_A
bigfootnetworks,Series_A
betterment,Series_A
bodyshopbids,Series_A
petflow,Series_A
copansystems,Series_A
yottaa,Series_A
games2win,Series_A
digitalbridgecommunications,Series_A
baynote,Series_A
innography,Series_A
contextream,Series_A
freedommeditech,Series_A
alertlogic,Series_A
naurex,Series_A
breather,Series_A
panzura,Series_A
tetraphasepharmaceuticals,Series_A
sentilla,Series_A
trifacta,Series_A
edeniq,Series_A
zingsystems,Series_A
akorrinetworks,Series_A
nowait,Series_A
socialflow,Series_A
tunewiki,Series_A
zettaset,Series_A
