,Company,Series,Total_Likes,Total_Retweets,Avg_Tweets,Series_Amount,Series_Date
95,Livingly-Media,Series_A,,,,6800000,"Aug  1, 2007"
96,Artwise,Series_A,,,,1000000,"Oct 30, 2011"
97,Paymetric,Series_A,,,,7000000,"Jan 26, 2005"
98,iProf-Learning-Solutions-India,Series_A,,,,6000000,"Mar  1, 2011"
99,Oraya-Therapeutics,Series_A,,,,4000000,"Jun 18, 2007"
100,ShopIgniter,Series_A,,,,3000000,"Mar  3, 2010"
101,Become,Series_A,,,,4500000,"Sep  1, 2004"
102,Contrafect,Series_A,,,,2200000,"Oct 26, 2010"
103,Optify,Series_A,,,,2750000,"Oct 10, 2008"
104,MediaBoost,Series_A,,,,1500000,"Aug 19, 2007"
105,House-Party,Series_A,,,,1250000,"Jan  1, 2006"
106,Mig33,Series_A,,,,10000000,"May  7, 2007"
107,NatureBox,Series_A,,,,8500000,"Jul 23, 2013"
108,Milyoni,Series_A,,,,3000000,"May 25, 2011"
109,ShapeUp,Series_A,,,,5000000,"Aug 16, 2010"
110,Poshmark,Series_A,,,,3500000,"Feb  1, 2011"
111,Stitch-Fix,Series_A,,,,4750000,"Feb 28, 2013"
112,HelloWallet,Series_A,,,,3600000,"May  6, 2010"
113,Immune-Design,Series_A,,,,18000000,"Jul  7, 2008"
114,QualVu,Series_A,,,,750000,"Feb 12, 2008"
115,Garlik,Series_A,,,,5400000,"Apr 24, 2006"
116,Docstoc,Series_A,,,,750000,"Nov  1, 2007"
117,Placeiq,Series_A,,,,4200000,"Dec 12, 2011"
118,Chartboost,Series_A,,,,2000000,"Oct  1, 2011"
119,Liquid-Robotics,Series_A,,,,2000000,"Jul 25, 2007"
120,Zynstra,Series_A,,,,3800000,"Sep 12, 2013"
121,Stellaris,Series_A,,,,6000000,"Dec  1, 2007"
122,Widgetbox,Series_A,,,,5000000,"Jun  1, 2007"
123,Worktopia,Series_A,,,,5000000,"Oct  1, 2007"
124,Guardian-Analytics,Series_A,,,,1300000,"Jan  1, 2006"
125,Healthline-Networks,Series_A,,,,14000000,"Jan  1, 2006"
126,Getaround,Series_A,,,,3400000,"Sep  9, 2011"
127,Cirtas-Systems,Series_A,,,,10000000,"Sep 20, 2010"
128,HarQen,Series_A,,,,2700000,"Jan  1, 2010"
129,Tier-3,Series_A,,,,8500000,"Mar  9, 2011"
130,Kenandy,Series_A,,,,10500000,"Aug 29, 2011"
131,Instart-Logic,Series_A,,,,9000000,"Feb  1, 2012"
132,Greenphire,Series_A,,,,1500000,"Sep 16, 2011"
133,Travelshark,Series_A,,,,3000000,"Jan  1, 1000"
134,Xlumena,Series_A,,,,3000000,"May 17, 2010"
135,Betaworks,Series_A,,,,7500000,"Jan  1, 2008"
136,Ayla-Networks,Series_A,,,,5400000,"Jun  5, 2013"
137,CloudOn,Series_A,,,,8000000,"May  1, 2011"
138,Incline-Therapeutics,Series_A,,,,43000000,"Jun 28, 2010"
139,AutoVirt,Series_A,,,,4500000,"Jan  1, 2008"
140,Entone-Technologies,Series_A,,,,9500000,"May  2, 2003"
141,Inmagic,Series_A,,,,5000000,"Dec  1, 2007"
142,Peer39,Series_A,,,,3000000,"Feb  1, 2007"
143,Spectra-Analysis,Series_A,,,,1350000,"Feb  2, 2006"
144,Covestor,Series_A,,,,6500000,"Apr  7, 2008"
145,Aternity,Series_A,,,,7500000,"Feb 14, 2005"
146,Nimbuzz,Series_A,,,,10000000,"Jun  1, 2007"
147,GreenSQL,Series_A,,,,1500000,"Sep 30, 2009"
148,Flypaper,Series_A,,,,3000000,"Feb  1, 2008"
149,Seatwave,Series_A,,,,3000000,"May  1, 2006"
150,OpenSky,Series_A,,,,5000000,"May  1, 2009"
151,Adura-Technologies,Series_A,,,,5000000,"Oct 16, 2008"
152,enVista,Series_A,,,,5000000,"May 28, 2007"
153,DogVacay,Series_A,,,,6000000,"Nov  1, 2012"
154,iPierian,Series_A,,,,30000000,"Sep  4, 2013"
155,SpaceCurve,Series_A,,,,3500000,"Aug 13, 2012"
156,Yieldmo,Series_A,,,,4100000,"Aug 28, 2012"
157,Cylance,Series_A,,,,15000000,"Feb 13, 2013"
158,Picateers,Series_A,,,,5500000,"Jan  1, 2006"
159,TinyCo,Series_A,,,,18000000,"Feb 25, 2011"
160,Topsy-Labs,Series_A,,,,900000,"Jan  1, 2008"
161,Synchroneuron,Series_A,,,,6000000,"Feb  6, 2012"
162,Personetics-Technologies,Series_A,,,,6500000,"May 25, 2011"
163,Animoto,Series_A,,,,600000,"Aug  1, 2007"
164,Ortiva-Wireless,Series_A,,,,12000000,"Feb  1, 2005"
165,Optimizely,Series_A,,,,28000000,"Apr 16, 2013"
166,Virtual-Computer,Series_A,,,,6000000,"Dec  1, 2007"
167,Machine-Zone,Series_A,,,,5300000,"Mar 28, 2012"
168,Clean-Power-Finance,Series_A,,,,3600000,"Jan  6, 2010"
169,RedMart,Series_A,,,,1600000,"Jul 15, 2013"
170,Untangle,Series_A,,,,10500000,"Dec 11, 2006"
171,Instromedix,Series_A,,,,1000000,"Mar 22, 2007"
