,Company,Series,Total_Likes,Total_Retweets,Avg_Tweets,Series_Amount,Series_Date
1158,Comet-Solutions,Series_A,,,,7000000,"Feb  8, 2006"
1159,Stratavia,Series_A,,,,3300000,"Aug 31, 2005"
1160,Analog-Design-Automation,Series_A,,,,5000000,"Oct 20, 2000"
1161,Twice,Series_A,,,,4000000,"Aug 20, 2012"
1162,Surefire-Medical,Series_A,,,,6100000,"Nov  8, 2011"
1163,Qualtre,Series_A,,,,5000000,"Aug 20, 2008"
1164,Jambool,Series_A,,,,1000000,"Aug  1, 2008"
1165,GeneWEAVE,Series_A,,,,12000000,"Feb 28, 2012"
1166,Wanova,Series_A,,,,13000000,"Aug 19, 2009"
1167,Nextbio,Series_A,,,,1100000,"Jan  1, 2005"
1168,OpenGov,Series_A,,,,3000000,"Jun  1, 2012"
1169,Netbooks,Series_A,,,,6900000,"Sep  5, 2007"
1170,Optimal,Series_A,,,,600000,"Jan  1, 2008"
1171,Maxta,Series_A,,,,10000000,"Nov 12, 2013"
1172,Skybox-Imaging,Series_A,,,,3000000,"Jul 31, 2009"
1173,GreenWizard,Series_A,,,,1115000,"Mar  1, 2010"
1174,Ticketbis,Series_A,,,,1300000,"Jul  1, 2011"
1175,YPX-Cayman-Holdings,Series_A,,,,10000000,"Jan  1, 2010"
1176,Krux-Digital,Series_A,,,,11000000,"Sep 21, 2011"
1177,Inventables,Series_A,,,,2000000,"Jan 27, 2010"
1178,Visible-Path,Series_A,,,,7700000,"Mar  1, 2006"
1179,Adara-Global,Series_A,,,,11700000,"Apr 12, 2011"
1180,Spigit,Series_A,,,,4000000,"Feb  1, 2007"
1181,GMZ-Energy,Series_A,,,,7000000,"Apr 18, 2011"
1182,Leap-Motion,Series_A,,,,12750000,"May  9, 2012"
1183,Top10,Series_A,,,,3500000,"Sep 20, 2011"
1184,HealthiNation,Series_A,,,,4500000,"Jan  1, 2007"
1185,Kapost,Series_A,,,,1100000,"Sep 15, 2010"
1186,Robinhood,Series_A,,,,13000000,"Sep 24, 2014"
1187,MobileSpaces,Series_A,,,,3000000,"Aug 23, 2012"
1188,LearnVest,Series_A,,,,4430000,"Apr  1, 2010"
1189,JiWire,Series_A,,,,2500000,"May 17, 2006"
1190,SensorTran,Series_A,,,,5500000,"Aug 10, 2006"
1191,Matrixx-Software,Series_A,,,,9000000,"Mar 11, 2010"
1192,Pano-Logic,Series_A,,,,12000000,"Jan 30, 2008"
1193,Redfin,Series_A,,,,770000,"Sep  1, 2005"
1194,Gaikai,Series_A,,,,5000000,"Jan  5, 2010"
1195,Atraverda,Series_A,,,,12000000,"Mar  7, 2007"
1196,Trigence,Series_A,,,,5500000,"Mar  1, 2004"
1197,SnapNames,Series_A,,,,4500000,"Jun 28, 2001"
1198,Sample6,Series_A,,,,5750000,"May 31, 2011"
1199,TechForward,Series_A,,,,1400000,"Dec 10, 2007"
1200,LimeRoad,Series_A,,,,5000000,"Oct 23, 2012"
1201,Planitax,Series_A,,,,7500000,"Jun  2, 2003"
1202,CashStar,Series_A,,,,4000000,"Jan  1, 2008"
1203,Blend-Therapeutics,Series_A,,,,2800000,"Jan  6, 2012"
1204,Sagent-Pharmaceuticals,Series_A,,,,30000000,"Jun 14, 2009"
1205,Koding,Series_A,,,,7500000,"Dec  1, 2012"
1206,Intradigm,Series_A,,,,16000000,"Nov 21, 2006"
1207,PerfectServe,Series_A,,,,1000000,"Sep 28, 2000"
1208,Scality,Series_A,,,,5000000,"Jun  7, 2010"
1209,Concert-Pharmaceuticals,Series_A,,,,10000000,"Jul 17, 2006"
1210,MOTA-Motors,Series_A,,,,4500000,"Mar  1, 2008"
1211,Scifiniti,Series_A,,,,10500000,"Jun 16, 2010"
1212,Artisan-Pharma,Series_A,,,,39000000,"Sep  6, 2006"
1213,Pneuron,Series_A,,,,2000000,"Nov  4, 2011"
1214,Bloom-Health,Series_A,,,,5000000,"Jan  7, 2010"
1215,VoltDB,Series_A,,,,5000000,"Sep  7, 2010"
1216,vArmour-Networks,Series_A,,,,6000000,"Jan 15, 2013"
1217,Infineta-Systems,Series_A,,,,15000000,"May  7, 2010"
1218,Hotelicopter,Series_A,,,,3500000,"Nov 17, 2008"
1219,Picooc-Technology,Series_A,,,,4000000,"Jan  1, 2014"
1220,Pixable,Series_A,,,,2500000,"Nov 10, 2010"
1221,Selectable-Media,Series_A,,,,2000000,"Oct 19, 2012"
1222,908-Devices,Series_A,,,,8100000,"Sep  5, 2012"
1223,Apalya,Series_A,,,,3000000,"Oct  1, 2009"
1224,ZOZI,Series_A,,,,3000000,"Aug 30, 2010"
1225,Vantos,Series_A,,,,6600000,"Jul 22, 2005"
1226,Tumri,Series_A,,,,6000000,"Jan  1, 2005"
1227,Dwolla,Series_A,,,,1000000,"Nov 11, 2010"
1228,Philz-Coffee,Series_A,,,,15000000,"May  1, 2013"
1229,PeerApp,Series_A,,,,3000000,"Jan  1, 2008"
1230,PivotLink,Series_A,,,,3500000,"Feb 15, 2007"
1231,Vasona-Networks,Series_A,,,,10000000,"May  1, 2011"
1232,AdKeeper,Series_A,,,,8000000,"Sep 15, 2010"
1233,Lockpath,Series_A,,,,2000000,"Jun  8, 2011"
1234,Posterous,Series_A,,,,4400000,"Mar  5, 2010"
1235,Nanigans,Series_A,,,,3000000,"Aug  9, 2011"
1236,Dizzywood,Series_A,,,,1000000,"Feb  7, 2008"
1237,GumGum,Series_A,,,,1000000,"Jul 21, 2008"
1238,Verto-Analytics,Series_A,,,,5400000,"Apr 24, 2014"
1239,Restorando,Series_A,,,,3200000,"Feb 22, 2012"
1240,Dobleas,Series_A,,,,4000000,"Feb 22, 2002"
1241,Vdopia,Series_A,,,,4000000,"Oct 12, 2009"
1242,Viamet-Pharmaceuticals,Series_A,,,,4000000,"Jun  7, 2007"
1243,Mu-Dynamics,Series_A,,,,4000000,"Jan  1, 2005"
1244,Rapport,Series_A,,,,7000000,"Jul 21, 2005"
1245,Aryaka-Networks,Series_A,,,,14000000,"Sep 21, 2010"
1246,Char-Software,Series_A,,,,700000,"May 11, 2010"
1247,Bizible,Series_A,,,,1700000,"Nov 26, 2012"
1248,HouseTrip,Series_A,,,,2700000,"Apr  5, 2011"
1249,EveryScape,Series_A,,,,4500000,"Jan  1, 2005"
1250,Varentec,Series_A,,,,7700000,"Jan 18, 2012"
1251,Hipmunk,Series_A,,,,4200000,"Jan 25, 2011"
1252,iMoney-Group,Series_A,,,,2000000,"Oct 24, 2013"
1253,Interactive-TKO,Series_A,,,,5100000,"Jan  3, 2006"
1254,Jiff,Series_A,,,,7500000,"Mar 12, 2012"
1255,Jana,Series_A,,,,8500000,"Apr 12, 2011"
1256,StrongMail,Series_A,,,,6000000,"Mar 15, 2004"
1257,Pluck,Series_A,,,,1500000,"Jan  1, 2004"
1258,GuardianEdge-Technologies,Series_A,,,,6000000,"Jun  6, 2005"
1259,Retrofit,Series_A,,,,8000000,"Nov 14, 2012"
1260,Reflektion,Series_A,,,,3300000,"May 20, 2013"
1261,Kit-Check,Series_A,,,,10400000,"Jul  1, 2013"
1262,ConjuGon,Series_A,,,,2600000,"Dec 12, 2005"
1263,Aldea-Pharmaceuticals,Series_A,,,,11500000,"Nov 18, 2013"
1264,Cellscape,Series_A,,,,1600000,"Dec  1, 2010"
1265,Jivox,Series_A,,,,10700000,"Jun 16, 2008"
1266,Surf-Air,Series_A,,,,3890000,"Jun  6, 2012"
1267,Opendoor,Series_A,,,,9950000,"Jul  7, 2014"
1268,Boulder-Wind-Power,Series_A,,,,8000000,"Feb  3, 2011"
1269,Sierra-Surgical-Technologies,Series_A,,,,7100000,"Aug 15, 2007"
1270,Recyclebank,Series_A,,,,13100000,"May  9, 2007"
1271,Lotame,Series_A,,,,10000000,"Feb 14, 2008"
1272,cFares,Series_A,,,,4500000,"Jul 23, 2007"
1273,ZEFR,Series_A,,,,3000000,"Nov 11, 2010"
1274,myDocket,Series_A,,,,3600000,"Mar  6, 2013"
1275,Firm58,Series_A,,,,3700000,"Apr  4, 2007"
1276,BLiNQ-Networks,Series_A,,,,7400000,"Feb  7, 2011"
1277,Movable-Ink,Series_A,,,,1300000,"Jul 13, 2011"
1278,Limeade,Series_A,,,,3000000,"Aug 13, 2008"
1279,KnowledgeTree,Series_A,,,,2200000,"May  9, 2009"
1280,Velomedix,Series_A,,,,3500000,"Nov 11, 2009"
1281,Silverrail-Technologies,Series_A,,,,9500000,"Jan  1, 1000"
1282,Intercom,Series_A,,,,6000000,"Jun  1, 2013"
1283,Peak-Games,Series_A,,,,5000000,"May 25, 2011"
1284,Taodangpu,Series_A,,,,1000000,"Sep  1, 2013"
1285,TaskRabbit,Series_A,,,,5000000,"May  4, 2011"
1286,Checkpoint-Surgical,Series_A,,,,1100000,"Nov 10, 2009"
1287,Idbyme,Series_A,,,,2900000,"Jan  1, 2010"
1288,NearbyNow,Series_A,,,,2500000,"Jun 20, 2006"
1289,m6d,Series_A,,,,9000000,"Aug 14, 2008"
1290,Motionbox,Series_A,,,,4200000,"Sep  1, 2006"
1291,ezCater,Series_A,,,,4000000,"Apr 15, 2014"
1292,Mobilitec,Series_A,,,,2100000,"May  1, 2000"
1293,Zmanda,Series_A,,,,5000000,"Jan  1, 2005"
1294,RealOps,Series_A,,,,5000000,"Feb 22, 2005"
1295,ReShape-Medical,Series_A,,,,3000000,"Aug 31, 2007"
1296,Avelas-Biosciences,Series_A,,,,7700000,"Dec  6, 2012"
1297,XAware,Series_A,,,,2100000,"Nov  1, 2002"
1298,Nantero,Series_A,,,,6000000,"Oct  1, 2001"
1299,Intent-Media,Series_A,,,,8000000,"Jul 20, 2009"
1300,Legolas-Media,Series_A,,,,5000000,"Mar 16, 2011"
1301,Vinfolio,Series_A,,,,4500000,"Sep  2, 2009"
1302,SimpleTuition,Series_A,,,,4400000,"Apr 14, 2006"
1303,Radar-Networks,Series_A,,,,5000000,"Apr  1, 2006"
1304,Miyowa,Series_A,,,,3900000,"Sep  4, 2006"
1305,EAT-Club,Series_A,,,,5000000,"Apr  1, 2013"
1306,Delphix,Series_A,,,,8500000,"Feb  4, 2009"
1307,WePlay,Series_A,,,,3500000,"Jul  1, 2007"
1308,Cumulus-Networks,Series_A,,,,15000000,"Aug 20, 2012"
1309,Vringo,Series_A,,,,2350000,"Aug  1, 2006"
1310,Wordnik,Series_A,,,,1000000,"Jan  1, 2008"
1311,Pley,Series_A,,,,6750000,"Mar 20, 2014"
1312,Autoquake,Series_A,,,,6000000,"Jul  1, 2006"
1313,Carrier-IQ,Series_A,,,,10000000,"Aug  8, 2006"
1314,SG-Biofuels,Series_A,,,,9400000,"Sep 14, 2010"
1315,Piazza,Series_A,,,,6000000,"Jan  6, 2012"
1316,Achievers,Series_A,,,,4700000,"Jul 31, 2008"
1317,Base-CRM,Series_A,,,,6800000,"May  9, 2012"
1318,Elance,Series_A,,,,12000000,"Feb  1, 2000"
1319,TK20,Series_A,,,,2000000,"Feb  1, 2007"
1320,The-Receivables-Exchange,Series_A,,,,5000000,"Oct  1, 2007"
1321,Kaiam,Series_A,,,,2900000,"Mar 30, 2010"
1322,Sittercity,Series_A,,,,7500000,"Jan 30, 2009"
1323,Glaxstar,Series_A,,,,3000000,"May 16, 2008"
1324,Appneta,Series_A,,,,6200000,"Apr 27, 2011"
1325,Solar-Junction,Series_A,,,,18000000,"May 23, 2008"
1326,TRUSTe,Series_A,,,,10000000,"Jul 15, 2008"
1327,Doximity,Series_A,,,,10800000,"Mar 16, 2011"
1328,Credit-Benchmark,Series_A,,,,7000000,"Jul  9, 2014"
1329,DeviantArt,Series_A,,,,3500000,"Jun 21, 2007"
1330,Divide,Series_A,,,,11000000,"Oct 10, 2011"
1331,Vostu,Series_A,,,,2594083,"Dec 15, 2009"
1332,Predixion-Software,Series_A,,,,5000000,"Oct 13, 2010"
1333,Yesvideo,Series_A,,,,1300000,"Jul  1, 2000"
1334,Unmetric,Series_A,,,,3200000,"Apr 13, 2012"
1335,Smartling,Series_A,,,,4099998,"Mar 18, 2010"
1336,Chango,Series_A,,,,1400000,"Jun 30, 2010"
1337,Neocleus,Series_A,,,,5000000,"Jul  1, 2006"
1338,InnRoad,Series_A,,,,1900000,"Jan  1, 2009"
1339,Trovix,Series_A,,,,5250000,"Dec  7, 2005"
1340,littleBits,Series_A,,,,3700000,"Jul 18, 2012"
1341,Digital-Chocolate,Series_A,,,,8400000,"Dec  1, 2003"
1342,Salsify,Series_A,,,,8000000,"Sep 12, 2013"
1343,Paperless-Post,Series_A,,,,6000000,"May  7, 2012"
1344,UpStart-Mobile,Series_A,,,,620000,"Dec 16, 2009"
1345,Frengo,Series_A,,,,2300000,"Dec  1, 2006"
1346,Sprig,Series_A,,,,12000000,"Apr  1, 2014"
1347,ClassPass,Series_A,,,,12000000,"Sep 17, 2014"
1348,Securus-Medical-Group,Series_A,,,,750000,"Aug  1, 2011"
1349,Blue-Spark-Technologies,Series_A,,,,6200000,"Mar 26, 2007"
1350,Lumena-Pharmaceuticals,Series_A,,,,23000000,"May  8, 2013"
1351,Tidemark,Series_A,,,,6300000,"Oct  7, 2010"
1352,Big-Stage-Entertainment,Series_A,,,,7900000,"Mar  1, 2007"
1353,Payoneer,Series_A,,,,4000000,"Mar 26, 2007"
1354,ThisNext,Series_A,,,,2500000,"Jan  1, 2006"
1355,Hearsay-Social,Series_A,,,,3000000,"Jan  1, 2010"
1356,Ticketfly,Series_A,,,,3000000,"May 12, 2010"
1357,Infobright,Series_A,,,,3000000,"Jan  1, 2006"
1358,Nasty-Gal,Series_A,,,,9000000,"Mar  5, 2012"
1359,Sequella,Series_A,,,,720100,"Jun 15, 2008"
1360,Lengow,Series_A,,,,255900,"Mar 22, 2010"
1361,Colorescience,Series_A,,,,10000000,"Jun 11, 2013"
1362,Hanger-Network-In-Home-Media,Series_A,,,,8000000,"Feb  5, 2007"
1363,Arsanis,Series_A,,,,10000000,"Feb 28, 2011"
1364,MaxPoint-Interactive,Series_A,,,,3000000,"Sep 14, 2010"
1365,Quanterix,Series_A,,,,15000000,"Aug 25, 2008"
1366,SIPX,Series_A,,,,2400000,"Oct  1, 2012"
1367,Applied-Identity,Series_A,,,,11000000,"Jan 13, 2005"
1368,Datameer,Series_A,,,,2500000,"Apr 15, 2010"
1369,GamePlan-Technologies,Series_A,,,,2500000,"Apr 25, 2006"
1370,Social-Point,Series_A,,,,2500000,"Jun 23, 2011"
1371,MemSQL,Series_A,,,,5000000,"Mar  1, 2013"
1372,Intercasting,Series_A,,,,5500000,"Aug  9, 2005"
1373,Top-Hat,Series_A,,,,8000000,"Jul 19, 2012"
1374,Circle,Series_A,,,,9000000,"Oct 31, 2013"
1375,OrthAlign,Series_A,,,,5200000,"Mar 15, 2010"
1376,Mongolab,Series_A,,,,3000000,"May 11, 2011"
1377,Zignal-Labs,Series_A,,,,4200000,"Jan 31, 2013"
1378,Simple-Energy,Series_A,,,,2016495,"Feb 19, 2013"
1379,Provade,Series_A,,,,4000000,"Jan 23, 2006"
1380,Connotate,Series_A,,,,5250000,"Jun  8, 2010"
1381,LiveU,Series_A,,,,3000000,"Jan  1, 2007"
1382,E-Band-Communications,Series_A,,,,3200000,"Jan  1, 2006"
1383,Albeo-Technologies,Series_A,,,,1500000,"Feb 21, 2008"
1384,Aria-Systems,Series_A,,,,4000000,"Nov  7, 2007"
1385,Gainsight,Series_A,,,,9000000,"Apr 28, 2013"
1386,Enevo,Series_A,,,,8000000,"Aug 28, 2014"
1387,BrightScope,Series_A,,,,900000,"May 31, 2008"
1388,MindMixer,Series_A,,,,1900000,"Feb  1, 2012"
1389,MyNewPlace,Series_A,,,,8000000,"Mar 22, 2006"
1390,Cardioxyl-Pharmaceuticals,Series_A,,,,14500000,"Dec  6, 2006"
1391,Casabi,Series_A,,,,2800000,"Dec 19, 2005"
1392,FutureAdvisor,Series_A,,,,5000000,"Aug 22, 2012"
1393,The-King-of-Shaves-Company,Series_A,,,,2400000,"Oct 23, 2010"
1394,Tapingo,Series_A,,,,3500000,"Jul 17, 2012"
1395,Routehappy,Series_A,,,,3300000,"Nov 20, 2014"
1396,Tiny-Pictures,Series_A,,,,4000000,"Aug  1, 2007"
1397,Fanduel,Series_A,,,,1200000,"Jan 14, 2009"
1398,Retail-Optimization-Cloud,Series_A,,,,1000000,"Apr 26, 2007"
1399,Oblong-Industries,Series_A,,,,8800000,"Dec  6, 2007"
1400,Soonr,Series_A,,,,6000000,"Sep  1, 2006"
1401,Alnara-Pharmaceuticals,Series_A,,,,20000000,"Oct 30, 2008"
1402,Jobster,Series_A,,,,8000000,"Jan  1, 2005"
1403,CircleUp,Series_A,,,,7500000,"May  7, 2013"
1404,Booyah,Series_A,,,,4500000,"Apr 30, 2008"
1405,Exagrid-Systems,Series_A,,,,16000000,"Dec 14, 2009"
1406,Comprehend,Series_A,,,,8400000,"Jul 11, 2013"
1407,Onshape,Series_A,,,,9000000,"Dec  6, 2012"
1408,Mahalo,Series_A,,,,5000000,"Jan  1, 2006"
1409,Platfora,Series_A,,,,7200000,"Sep  8, 2011"
1410,TravelMuse,Series_A,,,,600000,"Nov 15, 2008"
1411,Fanzter,Series_A,,,,2000000,"Jan  1, 2008"
1412,Sulia,Series_A,,,,1500000,"Sep 14, 2012"
1413,Molecular-Partners,Series_A,,,,15600000,"Aug 14, 2007"
1414,Brammo,Series_A,,,,11000000,"Aug 22, 2008"
1415,Secerno,Series_A,,,,3800000,"Mar  1, 2006"
1416,GetJar,Series_A,,,,6000000,"Nov  7, 2007"
1417,Engrade,Series_A,,,,3000000,"May  2, 2012"
1418,TVtrip,Series_A,,,,4800000,"Jul  1, 2007"
1419,HydroPoint-Data-Systems,Series_A,,,,11900000,"Nov 11, 2004"
1420,RipCode,Series_A,,,,7000000,"Nov  1, 2006"
1421,Crocus-Technology,Series_A,,,,17000000,"Jun 14, 2006"
1422,VTS,Series_A,,,,7000000,"Dec  2, 2013"
1423,Catavolt,Series_A,,,,1500000,"Sep 28, 2012"
1424,Agiliance,Series_A,,,,3000000,"Aug 23, 2005"
1425,InsightSquared,Series_A,,,,4500000,"May 16, 2012"
1426,Bunchball,Series_A,,,,2000000,"Oct  1, 2006"
1427,AHAlife,Series_A,,,,6000000,"Jul 27, 2011"
1428,Mojiva,Series_A,,,,3000000,"Nov  1, 2008"
1429,SecondMarket,Series_A,,,,3800000,"Jan  1, 2007"
1430,onefinestay,Series_A,,,,3700000,"Mar  8, 2011"
1431,Predilytics,Series_A,,,,6000000,"Sep  4, 2012"
1432,Cotap,Series_A,,,,5500000,"May 28, 2013"
1433,FiveStars,Series_A,,,,14500000,"Aug  2, 2012"
1434,Capriza,Series_A,,,,10500000,"Jul  1, 2011"
1435,TrialReach,Series_A,,,,3200000,"May  8, 2013"
1436,Sense-Networks,Series_A,,,,3000000,"Apr 28, 2008"
1437,Digital-Railroad,Series_A,,,,5200000,"Jun 14, 2005"
1438,Dayima,Series_A,,,,1000000,"Apr 28, 2013"
1439,IdeaPaint,Series_A,,,,5000000,"Nov 12, 2008"
1440,Medialets,Series_A,,,,4000000,"May 12, 2009"
1441,Mobile-Content-Networks,Series_A,,,,6000000,"Oct 24, 2006"
1442,PressPlane,Series_A,,,,1700000,"Sep  1, 2008"
1443,WHOOP,Series_A,,,,6000000,"Jun  4, 2014"
1444,Movableink,Series_A,,,,1300000,"Jul 13, 2011"
1445,Adaptive-Computing,Series_A,,,,14000000,"Sep 14, 2010"
1446,Kidaptive,Series_A,,,,1350000,"Oct 25, 2013"
1447,eBureau,Series_A,,,,8000000,"Mar 28, 2006"
1448,Kaboodle,Series_A,,,,1500000,"Mar  1, 2005"
1449,Jangl-SMS,Series_A,,,,2000000,"Jan  1, 2005"
1450,Clicker,Series_A,,,,8000000,"Sep 15, 2009"
1451,Tegile-Systems,Series_A,,,,2500000,"Jul  1, 2010"
1452,4Home,Series_A,,,,2850000,"Aug  1, 2006"
1453,Reflex-Systems,Series_A,,,,8500000,"Apr 17, 2009"
1454,RotoHog,Series_A,,,,6000000,"Aug  1, 2007"
1455,Glassdoor,Series_A,,,,3000000,"Mar 27, 2008"
1456,Magnet-Systems,Series_A,,,,12600000,"Apr 27, 2011"
1457,Yesware,Series_A,,,,4000000,"Jun 20, 2012"
1458,Total-Beauty-Media,Series_A,,,,2000000,"Mar  1, 2007"
1459,Bluecava,Series_A,,,,5000000,"Oct 18, 2010"
1460,DocuTAP,Series_A,,,,12000000,"Mar  6, 2012"
1461,On-q-ity,Series_A,,,,26000000,"Dec 14, 2009"
1462,Voyage-Medical,Series_A,,,,3400000,"Nov 16, 2006"
1463,Zmags,Series_A,,,,2300000,"Jan  1, 2008"
1464,Wooga,Series_A,,,,7500000,"Nov 12, 2009"
1465,Etsy,Series_A,,,,1000000,"Nov  1, 2006"
1466,Endeca,Series_A,,,,10000000,"Jan  1, 2001"
1467,Onestop-Internet,Series_A,,,,13300000,"Oct 14, 2008"
1468,SimplyCast,Series_A,,,,1000000,"Dec  1, 2009"
1469,Innovative-Silicon,Series_A,,,,6000000,"Mar  1, 2004"
1470,Jive-Software,Series_A,,,,15000000,"Aug  1, 2007"
1471,Fiksu,Series_A,,,,5500000,"Nov 23, 2010"
1472,TouchType,Series_A,,,,2400000,"Dec  7, 2011"
1473,Beckon,Series_A,,,,8000000,"Apr  1, 2014"
1474,Applied-DNA-Sciences,Series_A,,,,5500000,"Jan 10, 2013"
1475,G2-Microsystems,Series_A,,,,6600000,"Mar 15, 2005"
1476,Work-Market,Series_A,,,,6000000,"May 12, 2010"
1477,Qwilt,Series_A,,,,9100000,"Sep 13, 2010"
1478,Datadog,Series_A,,,,6200000,"Nov 21, 2012"
1479,Gutcheck,Series_A,,,,2000000,"Oct 12, 2010"
1480,Viridity-Software,Series_A,,,,7000000,"Dec  1, 2008"
1481,Cloudian,Series_A,,,,11600000,"Apr  1, 2012"
1482,SundaySky,Series_A,,,,8000000,"Jan  6, 2009"
1483,Player-X,Series_A,,,,7100000,"Oct  3, 2005"
1484,Crittercism,Series_A,,,,5500000,"Jun  1, 2012"
1485,Eye-Fi,Series_A,,,,5500000,"Jun 11, 2007"
1486,C3Nano,Series_A,,,,3200000,"Feb 13, 2011"
1487,AlertEnterprise,Series_A,,,,8000000,"Feb 11, 2009"
1488,PlayFirst,Series_A,,,,5000000,"Jan  1, 2004"
1489,Allozyne,Series_A,,,,3500000,"Dec  6, 2005"
1490,HireVue,Series_A,,,,1000000,"Sep 30, 2009"
1491,Aptus-Endosystems,Series_A,,,,15000000,"Aug 30, 2010"
1492,Parature,Series_A,,,,13500000,"Jul  5, 2006"
1493,UGOBE,Series_A,,,,2750000,"May  1, 2006"
1494,Peatix,Series_A,,,,3000000,"Jun 30, 2013"
1495,Quandoo,Series_A,,,,4500000,"Jun  1, 2013"
1496,Hytrust,Series_A,,,,5500000,"Apr  6, 2009"
1497,Distil-Networks,Series_A,,,,10000000,"May 28, 2014"
1498,Bigfoot-Networks,Series_A,,,,8750000,"May  1, 2008"
1499,SLYCE,Series_A,,,,10750000,"Mar  4, 2014"
1500,Betterment,Series_A,,,,3000000,"Dec  1, 2010"
1501,Skillz,Series_A,,,,5500000,"Jun 18, 2013"
1502,Adaptivity,Series_A,,,,7200000,"Oct  5, 2010"
1503,iSpecimen,Series_A,,,,2000000,"Sep 26, 2012"
1504,Smule,Series_A,,,,3900000,"Feb 13, 2009"
1505,Ziften-Technologies,Series_A,,,,5800000,"Jul 14, 2011"
1506,BodyShopBids,Series_A,,,,1000000,"Jan  4, 2012"
1507,IMVU,Series_A,,,,9000000,"Mar  1, 2006"
1508,Visualase,Series_A,,,,3500000,"Feb  1, 2010"
1509,DataPop,Series_A,,,,1700000,"Nov 11, 2010"
1510,Firetide,Series_A,,,,3200000,"Jun  3, 2003"
1511,Seres-Health,Series_A,,,,10500000,"Nov 21, 2013"
1512,Achates-Power,Series_A,,,,12100000,"Oct  8, 2009"
1513,Axxana,Series_A,,,,5000000,"Jun 18, 2007"
1514,LiquidHub,Series_A,,,,20000000,"Sep 25, 2007"
1515,Miragen-Therapeutics,Series_A,,,,8000000,"May 19, 2008"
1516,Modcloth,Series_A,,,,2100000,"Mar 18, 2009"
1517,Petflow,Series_A,,,,5000000,"Nov  9, 2010"
1518,6sense,Series_A,,,,12000000,"May 20, 2014"
1519,Criteo,Series_A,,,,6600000,"Apr  1, 2006"
1520,Affinity-Circles,Series_A,,,,440000,"Dec  1, 2004"
1521,Friendster,Series_A,,,,2400000,"Dec  1, 2002"
1522,Savaari-Car-Rentals,Series_A,,,,1000000,"Oct  1, 2012"
1523,Light,Series_A,,,,9700000,"Jun 10, 2014"
1524,Wrightspeed,Series_A,,,,5000000,"Sep 10, 2010"
1525,Tracevector,Series_A,,,,5300000,"Jan  5, 2012"
1526,Addepar,Series_A,,,,15800000,"Jun 15, 2011"
1527,Localytics,Series_A,,,,5500000,"Sep 10, 2012"
1528,Oh-My-Glasses,Series_A,,,,2000000,"Sep 28, 2012"
1529,Copan-Systems,Series_A,,,,3000000,"Aug 27, 2009"
1530,Misfit,Series_A,,,,7600000,"Apr 25, 2012"
1531,Aurora-Biofuels,Series_A,,,,5000000,"Jan 24, 2007"
1532,Yottaa,Series_A,,,,4000000,"Aug 31, 2010"
1533,Eons,Series_A,,,,10000000,"Apr  1, 2006"
1534,Philo,Series_A,,,,6300000,"Jul 10, 2013"
1535,Games2Win,Series_A,,,,5000000,"Mar 29, 2007"
1536,Woozworld,Series_A,,,,3000000,"May 10, 2010"
1537,Digital-Bridge-Communications,Series_A,,,,11000000,"Dec 11, 2006"
1538,Getglue,Series_A,,,,1500000,"Jan  1, 2007"
1539,Priceline,Series_A,,,,20000000,"Jul 31, 1998"
1540,SearchMe,Series_A,,,,400000,"Jul  1, 2005"
1541,Baynote,Series_A,,,,4000000,"Mar  1, 2005"
1542,Innography,Series_A,,,,6500000,"Aug  1, 2008"
1543,Wetpaint,Series_A,,,,5250000,"Oct  1, 2005"
1544,ConteXtream,Series_A,,,,9600000,"Jun  1, 2007"
1545,Greentech-Media,Series_A,,,,1000000,"May 24, 2007"
1546,Awareness,Series_A,,,,7000000,"Jul 23, 2007"
1547,Freedom-Meditech,Series_A,,,,2000000,"Sep 28, 2012"
1548,Sympoz,Series_A,,,,6000000,"Sep 14, 2011"
1549,Alert-Logic,Series_A,,,,2300000,"Sep 19, 2005"
1550,Kyruus,Series_A,,,,5500000,"Jun 21, 2011"
1551,Conduit-Labs,Series_A,,,,5500000,"Aug  1, 2007"
1552,Naurex,Series_A,,,,18000000,"May 11, 2011"
1553,Fuhu,Series_A,,,,1500000,"Feb  1, 2008"
1554,Breather,Series_A,,,,6000000,"Sep  4, 2014"
1555,Avegant,Series_A,,,,9370000,"Nov  4, 2014"
1556,Panzura,Series_A,,,,6000000,"Sep 28, 2008"
1557,Tetraphase-Pharmaceuticals,Series_A,,,,15000000,"Aug  7, 2008"
1558,Kosmix,Series_A,,,,7000000,"Nov 28, 2005"
1559,aihuishou,Series_A,,,,2000000,"Oct  1, 2011"
1560,Sentilla,Series_A,,,,3850000,"Oct 23, 2006"
1561,AdXpose,Series_A,,,,9800000,"Feb  1, 2007"
1562,KIXEYE,Series_A,,,,1000000,"Nov 18, 2008"
1563,Siri,Series_A,,,,8500000,"Oct 13, 2008"
1564,Trifacta,Series_A,,,,4300000,"Jun 12, 2012"
1565,ConnectM-Technology-Solutions,Series_A,,,,6000000,"Jun 27, 2007"
1566,EdeniQ,Series_A,,,,33100000,"Apr 21, 2008"
1567,Bitglass,Series_A,,,,10000000,"Mar  8, 2013"
1568,Zing-Systems,Series_A,,,,13000000,"Jan  1, 2007"
1569,Internet-REIT,Series_A,,,,20000000,"May 19, 2006"
1570,Akorri-Networks,Series_A,,,,8400000,"May  5, 2005"
